skill_id	skill_name	l4_name	l3_name	l2_name	l1_name	archetype	platform_fit	tech_total	decision_density	financial_gravity	impact_proximity	confidence_signal	adoption_total	value_density	simulation_viability	value_total	composite	confidence	promotes_to_sim	is_cross_functional
2f7c53-f28e1d	Constraint-Aware Pilot Build Optimization	Pilot Build Schedule Management	New Product Introduction (NPI) Production Planning	Production Planning & Scheduling	Plan	DETERMINISTIC	3	3	3	3	3	3	12	3	3	6	0.89	MEDIUM	Y	N
62e2cc-e667ea	Just-in-Sequence Line Delivery	Production Line Kit Building & Sequencing	Line-side Material Delivery	Inbound Logistics & Material Flow	Move & Fulfill	AGENTIC	3	3	2	3	3	3	11	3	3	6	0.89	HIGH	Y	N
95b037-ba8660	Empty Container Return Loop Optimization	Empty Container Return Loop Management	Returnable Container Logistics & Tracking	Packaging & Returnable Container Management	Move & Fulfill	DETERMINISTIC	3	3	2	3	3	3	11	3	3	6	0.89	MEDIUM	Y	N
1c00c5-0d928c	Optimized Module-Line Cycle Time	Module Production Line Cycle Time Optimization	Battery Module Assembly	Electric Vehicle Battery & Drive Unit Production	Make	DETERMINISTIC	3	3	3	3	3	2	11	3	3	6	0.88	MEDIUM	Y	N
vf-fb11bcdc	Automated Demand-Capacity Alignment for Order Promising	Automated Demand-Capacity Alignment for Order Promising	Cross-Functional: Customer + Fulfill + Sell + Deliver	Value Flow	Cross-Functional	DETERMINISTIC	3	3	2	3	3	3	11	3	3	6	0.88	HIGH	Y	Y
vf-eaa34439	Automated Channel Margin Coherence & Price-Protection Orchestration	Automated Channel Margin Coherence & Price-Protection Orchestration	Cross-Functional: Finance + Customer + Sell	Value Flow	Cross-Functional	DETERMINISTIC	3	3	2	3	3	3	11	3	3	6	0.88	HIGH	Y	Y
3308bc-ee57eb	Waste-Resilient Ford Pro Parts Allocation	Ford Pro Uptime & Service Contract Demand Modeling	Service Parts Demand Forecasting	Demand Forecasting & Sensing	Plan	DETERMINISTIC	3	3	3	3	3	2	11	3	3	6	0.88	HIGH	Y	N
6d8d86-637c4c	Production Stop-Start Optimization	Production Stop/Start Decision Making	Constraint & Exception Management	Production Planning & Scheduling	Plan	DETERMINISTIC	2	2	3	3	3	3	12	3	3	6	0.82	HIGH	Y	N
5d50c6-32706c	New Vehicle Ramp-Up Optimization	New Vehicle Launch Ramp-Up Planning	New Program & Lifecycle S&OP Integration	Sales & Operations Planning (S&OP)	Plan	AGENTIC	2	2	2	3	3	3	11	3	3	6	0.80	HIGH	Y	N
40b06a-3d6742	Optimize Capacity-Constrained Production	Bottleneck Identification & Resolution	Capacity Planning & Optimization	Production Planning & Scheduling	Plan	DETERMINISTIC	2	2	3	3	3	3	12	3	3	6	0.73	MEDIUM	Y	N
65af97-1cb717	Waste-Resilient Vehicle Portfolio Demand	Long-Term 5-Year+ Vehicle Portfolio Demand Projection	Strategic Demand Planning & Scenario Modeling	Demand Forecasting & Sensing	Plan	DETERMINISTIC	2	2	3	3	3	2	11	3	3	6	0.72	MEDIUM	Y	N
