tier	l3_name	l1_name	l2_name	lead_archetype	quick_win	combined_max_value	flag_count	flags	is_cross_functional
1	Supply Chain Capacity Planning	Plan	Supply Network Design & Planning	DETERMINISTIC	N	38358000	0		N
1	Constraint Identification & Resolution	Plan	Sales & Operations Planning (S&OP)	DETERMINISTIC	N	38000000	0		N
1	Paint Quality & Rework Management	Make	Paint Operations	AGENTIC	N	38000000	0		N
1	Supplier Performance & Relationship Management (Strategic)	Procure Source & Buy	Commodity Management & Market Intelligence	DETERMINISTIC	N	38000000	0		N
1	Supplier Quality Assurance & Improvement	Procure Source & Buy	Supplier Development & Capability Building	AGENTIC	N	38000000	0		N
1	Outbound Shipping & Loading	Move & Fulfill	Warehouse & Distribution Center Operations	DETERMINISTIC	N	38000000	0		N
1	Statistical Demand Modeling & Analytics	Plan	Demand Forecasting & Sensing	DETERMINISTIC	N	37000000	0		N
1	Industrial Engineering & Efficiency	Make	Production Support Services	DETERMINISTIC	N	37000000	0		N
1	Material Requirements Planning (MRP) Integration	Plan	Production Planning & Scheduling	DETERMINISTIC	N	36000000	0		N
1	New Product Introduction (NPI) Production Planning	Plan	Production Planning & Scheduling	AGENTIC	N	36000000	0		N
1	Topcoat Application	Make	Paint Operations	AGENTIC	N	36000000	0		N
1	Maintenance Performance Monitoring & Continuous Improvement	Make	Plant Maintenance & Reliability	DETERMINISTIC	N	36000000	0		N
1	Transportation Planning & Scheduling	Move & Fulfill	Outbound Vehicle Logistics & Distribution	DETERMINISTIC	N	36000000	0		N
1	Data & Technology Management for S&OP	Plan	Sales & Operations Planning (S&OP)	DETERMINISTIC	N	35000000	0		N
1	Production Schedule Execution & Monitoring	Plan	Production Planning & Scheduling	AGENTIC	N	35000000	0		N
1	S&OP Performance Monitoring & Improvement	Plan	Sales & Operations Planning (S&OP)	DETERMINISTIC	N	34000000	0		N
1	Strategic Capacity Planning	Plan	Capacity Planning & Constraint Management	DETERMINISTIC	N	34000000	0		N
1	Strategic Capacity Planning	Plan	Capacity Planning & Constraint Management	DETERMINISTIC	N	34000000	0		N
1	Industrial Engineering & Efficiency	Make	Production Support Services	AGENTIC	N	34000000	0		N
1	Financial Management & Cost Recovery	Service	Recall & Field Service Action Management	AGENTIC	N	34000000	0		N
1	Market & Economic Intelligence Gathering	Plan	Demand Forecasting & Sensing	DETERMINISTIC	N	32000000	0		N
1	Statistical Demand Modeling & Analytics	Plan	Demand Forecasting & Sensing	DETERMINISTIC	N	32000000	0		N
1	Strategic Demand Planning & Scenario Modeling	Plan	Demand Forecasting & Sensing	DETERMINISTIC	N	32000000	0		N
1	Internal Manufacturing Capacity Analysis	Plan	Capacity Planning & Constraint Management	DETERMINISTIC	N	32000000	0		N
1	Demand & Supply Data Integration	Plan	Inventory Planning & Optimization	DETERMINISTIC	N	32000000	0		N
1	Material Handling & Preparation	Make	Stamping Operations	AGENTIC	N	32000000	0		N
1	Vehicle Assembly Operations	Make	Trim Chassis & Final Assembly	DETERMINISTIC	N	32000000	0		N
1	Production Planning & Control	Make	Powertrain Manufacturing (Engine & Transmission)	DETERMINISTIC	N	32000000	0		N
1	Battery Pack Assembly	Make	Electric Vehicle Battery & Drive Unit Production	AGENTIC	N	32000000	0		N
1	Supplier Quality & Development	Procure Source & Buy	Supplier Relationship Management	DETERMINISTIC	N	32000000	0		N
1	Current Production Supplier Quality Monitoring	Procure Source & Buy	Supplier Quality Management	AGENTIC	N	32000000	0		N
1	Supply Base Risk & Resilience Management	Procure Source & Buy	Commodity Management & Market Intelligence	AGENTIC	N	32000000	0		N
1	Compliance	Procure Source & Buy	Procurement Operations & Compliance	DETERMINISTIC	N	32000000	0		N
1	Regulatory & Environmental Compliance Planning	Plan	New Product Launch Planning	DETERMINISTIC	N	30000000	0		N
1	Quality Control & Performance Testing	Make	Powertrain Manufacturing (Engine & Transmission)	DETERMINISTIC	N	30000000	0		N
1	Tooling & Capital Equipment PO Management	Procure Source & Buy	Purchase Order Management & Execution	DETERMINISTIC	N	30000000	0		N
1	Indirect Sourcing Strategy & Planning	Procure Source & Buy	Indirect Procurement	DETERMINISTIC	N	30000000	0		N
1	Warehouse & Inventory Management	Move & Fulfill	Inbound Logistics & Material Flow	DETERMINISTIC	N	30000000	0		N
1	Line-side Material Delivery	Move & Fulfill	Inbound Logistics & Material Flow	AGENTIC	N	30000000	0		N
1	Order Fulfillment & Picking	Move & Fulfill	Warehouse & Distribution Center Operations	DETERMINISTIC	N	30000000	0		N
1	Customer Order Modification & Cancellation	Move & Fulfill	Order Management & Fulfillment	AGENTIC	N	30000000	0		N
1	Cross-Functional: Plan + Move & Fulfill + Make	Cross-Functional	Feedback Loop	DETERMINISTIC	N	30000000	0		Y
1	Statistical Demand Modeling & Analytics	Plan	Demand Forecasting & Sensing	DETERMINISTIC	N	28000000	0		N
1	S&OP Performance Monitoring & Improvement	Plan	Sales & Operations Planning (S&OP)	DETERMINISTIC	N	28000000	0		N
1	S&OP Performance Monitoring & Improvement	Plan	Sales & Operations Planning (S&OP)	DETERMINISTIC	N	28000000	0		N
1	Production Schedule Execution & Monitoring	Plan	Production Planning & Scheduling	DETERMINISTIC	N	28000000	0		N
1	Constraint & Exception Management	Plan	Production Planning & Scheduling	AGENTIC	N	28000000	0		N
1	Tactical Capacity Planning	Plan	Capacity Planning & Constraint Management	DETERMINISTIC	N	28000000	0		N
1	Tactical Capacity Planning	Plan	Capacity Planning & Constraint Management	DETERMINISTIC	N	28000000	0		N
1	Constraint Identification & Resolution	Plan	Capacity Planning & Constraint Management	DETERMINISTIC	N	28000000	0		N
1	Supply Planning & Production Scheduling	Plan	Integrated Business Planning (IBP)	AGENTIC	N	28000000	0		N
1	Supply Planning & Production Scheduling	Plan	Integrated Business Planning (IBP)	AGENTIC	N	28000000	0		N
1	Data & Technology Enablement for IBP	Plan	Integrated Business Planning (IBP)	DETERMINISTIC	N	28000000	0		N
1	Data Analytics & Performance Management	Make	Stamping Operations	DETERMINISTIC	N	28000000	0		N
1	Maintenance & Asset Management	Make	Trim Chassis & Final Assembly	AGENTIC	N	28000000	0		N
1	Manufacturing System Integration & Layout Design	Make	Manufacturing Engineering & Process Design	DETERMINISTIC	N	28000000	0		N
1	Advanced Product Quality Planning (APQP) & PPAP Management	Procure Source & Buy	Supplier Quality Management	AGENTIC	N	28000000	0		N
1	Supplier Problem Resolution & Corrective Actions	Procure Source & Buy	Supplier Quality Management	AGENTIC	N	28000000	0		N
1	Cost & Value Optimization Initiatives	Procure Source & Buy	Commodity Management & Market Intelligence	DETERMINISTIC	N	28000000	0		N
1	Warehouse & Inventory Management	Move & Fulfill	Inbound Logistics & Material Flow	DETERMINISTIC	N	28000000	0		N
1	Warehouse & Distribution Center Network Management	Move & Fulfill	Logistics Network Optimization	DETERMINISTIC	N	28000000	0		N
1	Product Quality & Reliability Feedback Loop	Service	Dealer Technical Support & Service Engineering	AGENTIC	N	28000000	0		N
1	Material Requirements Planning (MRP) Integration	Plan	Production Planning & Scheduling	AGENTIC	N	27000000	0		N
1	Warehouse Performance & Continuous Improvement	Move & Fulfill	Warehouse & Distribution Center Operations	AGENTIC	N	27000000	0		N
1	Statistical Demand Modeling & Analytics	Plan	Demand Forecasting & Sensing	DETERMINISTIC	N	26000000	0		N
1	Quality Control & Metrology	Make	Body Shop & Welding	DETERMINISTIC	N	26000000	0		N
1	Vehicle Assembly Operations	Make	Trim Chassis & Final Assembly	DETERMINISTIC	N	26000000	0		N
1	Process Engineering & Continuous Improvement	Make	Electric Vehicle Battery & Drive Unit Production	DETERMINISTIC	N	26000000	0		N
1	Inbound Logistics Network Design & Optimization	Move & Fulfill	Inbound Logistics & Material Flow	DETERMINISTIC	N	26000000	0		N
1	Material Requirements Planning (MRP) Integration	Plan	Production Planning & Scheduling	AGENTIC	N	25000000	0		N
1	Capacity Planning & Optimization	Plan	Production Planning & Scheduling	DETERMINISTIC	N	25000000	0		N
1	Internal Manufacturing Capacity Analysis	Plan	Capacity Planning & Constraint Management	DETERMINISTIC	N	25000000	0		N
1	Demand Planning & Forecasting	Plan	Integrated Business Planning (IBP)	DETERMINISTIC	N	25000000	0		N
1	Supply Planning & Production Scheduling	Plan	Integrated Business Planning (IBP)	AGENTIC	N	25000000	0		N
1	Data & Technology Enablement for IBP	Plan	Integrated Business Planning (IBP)	DETERMINISTIC	N	25000000	0		N
1	Paint Production Planning & Control	Make	Paint Operations	DETERMINISTIC	N	25000000	0		N
1	Battery Module Assembly	Make	Electric Vehicle Battery & Drive Unit Production	DETERMINISTIC	N	25000000	0		N
1	Battery Module Assembly	Make	Electric Vehicle Battery & Drive Unit Production	DETERMINISTIC	N	25000000	0		N
1	Battery Pack Assembly	Make	Electric Vehicle Battery & Drive Unit Production	DETERMINISTIC	N	25000000	0		N
1	Supplier Communication & Collaboration	Procure Source & Buy	Supplier Relationship Management	AGENTIC	N	25000000	0		N
1	Indirect Supplier Qualification & Selection	Procure Source & Buy	Indirect Procurement	DETERMINISTIC	N	25000000	0		N
1	Inbound Logistics Exception Management	Move & Fulfill	Inbound Logistics & Material Flow	DETERMINISTIC	N	25000000	0		N
1	Dealer & Customer Delivery Operations	Move & Fulfill	Outbound Vehicle Logistics & Distribution	DETERMINISTIC	N	25000000	0		N
1	Service Parts Network Design & Operations	Service	Service Parts Planning & Management	DETERMINISTIC	N	25000000	0		N
1	Cross-Functional: Order Domain + Plan + Move & Fulfill + Procure Source & Buy	Cross-Functional	Feedback Loop	AGENTIC	N	25000000	0		Y
1	Cost & Value Optimization Initiatives	Procure Source & Buy	Commodity Management & Market Intelligence	DETERMINISTIC	N	24000000	0		N
1	Demand Planning & Forecasting	Plan	Integrated Business Planning (IBP)	DETERMINISTIC	N	22000000	0		N
1	Data & Technology Enablement for IBP	Plan	Integrated Business Planning (IBP)	AGENTIC	N	22000000	0		N
1	Stamping Supplier & Outsource Management	Make	Stamping Operations	AGENTIC	N	22000000	0		N
1	Finished Powertrain Logistics & Outbound Preparation	Make	Powertrain Manufacturing (Engine & Transmission)	DETERMINISTIC	N	22000000	0		N
1	Manufacturing System Integration & Layout Design	Make	Manufacturing Engineering & Process Design	DETERMINISTIC	N	22000000	0		N
1	Manufacturing Engineering & Process Development	Make	Production Support Services	DETERMINISTIC	N	22000000	0		N
1	Industrial Engineering & Efficiency	Make	Production Support Services	DETERMINISTIC	N	22000000	0		N
1	Field Quality & Warranty Performance Management	Procure Source & Buy	Supplier Quality Management	AGENTIC	N	22000000	0		N
1	Outbound Logistics Network Strategy & Optimization	Move & Fulfill	Outbound Vehicle Logistics & Distribution	DETERMINISTIC	N	22000000	0		N
1	Order Fulfillment Performance Reporting & Analytics	Move & Fulfill	Order Management & Fulfillment	DETERMINISTIC	N	22000000	0		N
1	Master Production Scheduling (MPS)	Plan	Production Planning & Scheduling	DETERMINISTIC	N	21000000	0		N
1	Material Requirements Planning (MRP) Integration	Plan	Production Planning & Scheduling	AGENTIC	N	21000000	0		N
1	Material Requirements Planning (MRP) Integration	Plan	Production Planning & Scheduling	AGENTIC	N	20000000	0		N
1	Inventory & Working Capital Optimization	Plan	Integrated Business Planning (IBP)	DETERMINISTIC	N	20000000	0		N
1	Material Handling & Preparation	Make	Stamping Operations	AGENTIC	N	20000000	0		N
1	Body-In-White (BIW) Assembly Execution	Make	Body Shop & Welding	DETERMINISTIC	N	20000000	0		N
1	Production Planning & Sequencing Integration	Make	Body Shop & Welding	DETERMINISTIC	N	20000000	0		N
1	Quality Control & Performance Testing	Make	Powertrain Manufacturing (Engine & Transmission)	DETERMINISTIC	N	20000000	0		N
1	Supplier Quality & Development	Procure Source & Buy	Supplier Relationship Management	DETERMINISTIC	N	20000000	0		N
1	Supplier Problem Resolution & Corrective Actions	Procure Source & Buy	Supplier Quality Management	AGENTIC	N	20000000	0		N
1	Customs	Move & Fulfill	Inbound Logistics & Material Flow	DETERMINISTIC	N	20000000	0		N
1	Carrier Performance & Relationship Management	Move & Fulfill	Outbound Vehicle Logistics & Distribution	DETERMINISTIC	N	20000000	0		N
1	Dealer & Customer Delivery Operations	Move & Fulfill	Outbound Vehicle Logistics & Distribution	DETERMINISTIC	N	20000000	0		N
1	Warranty Policy & Program Development	Service	Warranty Administration & Claims Management	DETERMINISTIC	N	20000000	0		N
1	Cross-Functional: Plan + Move & Fulfill + Inventory Domain	Cross-Functional	Feedback Loop	DETERMINISTIC	N	20000000	0		Y
1	Cross-Functional: Inventory + Planning + Logistics	Cross-Functional	Value Flow	DETERMINISTIC	N	20000000	0		Y
1	Material Requirements Planning (MRP) Integration	Plan	Production Planning & Scheduling	DETERMINISTIC	N	19500000	0		N
1	Constraint Identification & Resolution	Plan	Sales & Operations Planning (S&OP)	AGENTIC	N	18000000	0		N
1	Internal Manufacturing Capacity Analysis	Plan	Capacity Planning & Constraint Management	DETERMINISTIC	N	18000000	0		N
1	Regulatory & Environmental Compliance Planning	Plan	New Product Launch Planning	DETERMINISTIC	N	18000000	0		N
1	Paint Production Planning & Control	Make	Paint Operations	DETERMINISTIC	N	18000000	0		N
1	Vehicle Assembly Operations	Make	Trim Chassis & Final Assembly	DETERMINISTIC	N	18000000	0		N
1	Field Quality & Warranty Performance Management	Procure Source & Buy	Supplier Quality Management	AGENTIC	N	18000000	0		N
1	Cost & Value Optimization Initiatives	Procure Source & Buy	Commodity Management & Market Intelligence	DETERMINISTIC	N	18000000	0		N
1	Inbound Logistics Exception Management	Move & Fulfill	Inbound Logistics & Material Flow	AGENTIC	N	18000000	0		N
1	Inbound Logistics Exception Management	Move & Fulfill	Inbound Logistics & Material Flow	AGENTIC	N	18000000	0		N
1	Order to Production Scheduling Integration	Move & Fulfill	Order Management & Fulfillment	DETERMINISTIC	N	18000000	0		N
1	Order Fulfillment Performance Reporting & Analytics	Move & Fulfill	Order Management & Fulfillment	AGENTIC	N	18000000	0		N
1	Transportation Strategy & Mode Optimization	Move & Fulfill	Logistics Network Optimization	DETERMINISTIC	N	18000000	0		N
1	Customer Experience & Technical Support for Connected Services	Service	Connected Vehicle Services & OTA Updates	AGENTIC	N	18000000	0		N
1	Drive Unit Final Assembly & Testing	Make	Electric Vehicle Battery & Drive Unit Production	AGENTIC	N	17000000	0		N
1	Warehouse & Distribution Center Network Management	Move & Fulfill	Logistics Network Optimization	DETERMINISTIC	N	17000000	0		N
1	Data & Technology Management for S&OP	Plan	Sales & Operations Planning (S&OP)	DETERMINISTIC	N	16000000	0		N
1	Stamping Supplier & Outsource Management	Make	Stamping Operations	AGENTIC	N	16000000	0		N
1	Manufacturing Engineering & Process Optimization	Make	Powertrain Manufacturing (Engine & Transmission)	DETERMINISTIC	N	16000000	0		N
1	Drive Unit Component & Sub-Assembly	Make	Electric Vehicle Battery & Drive Unit Production	DETERMINISTIC	N	16000000	0		N
1	Drive Unit Final Assembly & Testing	Make	Electric Vehicle Battery & Drive Unit Production	AGENTIC	N	16000000	0		N
