skill_id	skill_name	l4_name	l1_name	l2_name	composite	archetype	confidence	verdict	implementation_readiness_score	groundedness_score	integration_confidence_score	ambiguity_risk_score	reasons	is_cross_functional
ddcf2c-8e813d	Autonomous MRP Supplier Release	Supplier Release Generation & Transmission	Plan	Production Planning & Scheduling	0.99	AGENTIC	HIGH	ADVANCE	87	86	87	27	Scenario is grounded, integration-aware, and implementation-ready.	N
ae6392-a4dff0	Autonomous Production Progress Orchestration	Production Progress Tracking & Reporting	Plan	Production Planning & Scheduling	0.91	AGENTIC	MEDIUM	ADVANCE	87	86	87	27	Scenario is grounded, integration-aware, and implementation-ready.	N
e69f6b-d1aa7c	Waste-Driven Consumable Replenishment Optimization	Consumable & Wear Part Replenishment Forecasting	Plan	Demand Forecasting & Sensing	0.89	DETERMINISTIC	HIGH	ADVANCE	87	86	87	27	Scenario is grounded, integration-aware, and implementation-ready.	N
9cc360-cbeb26	Dynamic Production Sequencing	Production Sequence Optimization	Plan	Production Planning & Scheduling	0.99	DETERMINISTIC	HIGH	ADVANCE	86	83	87	28	Scenario is grounded, integration-aware, and implementation-ready.	N
d6f202-068baf	Automated Dealer Order Allocation	Dealer Order Allocation & Prioritization	Plan	Production Planning & Scheduling	0.99	AGENTIC	HIGH	ADVANCE	86	86	85	30	Scenario is grounded, integration-aware, and implementation-ready.	N
084434-ecd37f	ML-Driven Forecast Error Reduction	Machine Learning Model Deployment for Prediction	Plan	Demand Forecasting & Sensing	0.99	DETERMINISTIC	HIGH	ADVANCE	86	83	87	28	Scenario is grounded, integration-aware, and implementation-ready.	N
vf-fb11bcdc	Automated Demand-Capacity Alignment for Order Promising	Automated Demand-Capacity Alignment for Order Promising	Cross-Functional	Value Flow	0.88	DETERMINISTIC	HIGH	ADVANCE	86	83	87	28	Scenario is grounded, integration-aware, and implementation-ready.	Y
311fb6-e91639	S&OP Cycle Automation	Sales & Operations Planning (S&OP) Cycle Management	Plan	Production Planning & Scheduling	0.99	AGENTIC	HIGH	ADVANCE	85	83	85	31	Scenario is grounded, integration-aware, and implementation-ready.	N
34ea50-3580e4	Global Sales Forecast Consolidation	Global Sales Forecast Aggregation	Plan	Production Planning & Scheduling	0.96	DETERMINISTIC	HIGH	ADVANCE	85	83	85	31	Scenario is grounded, integration-aware, and implementation-ready.	N
1b38c2-9a8e75	Just-In-Sequence Delivery Orchestration	Just-in-Sequence (JIS) Part Delivery Execution	Move & Fulfill	Inbound Logistics & Material Flow	0.96	AGENTIC	HIGH	ADVANCE	85	83	85	31	Scenario is grounded, integration-aware, and implementation-ready.	N
78dc79-b2c80b	Long-Range Production Alignment	Weekly Build Schedule Finalization	Plan	Production Planning & Scheduling	0.91	DETERMINISTIC	HIGH	ADVANCE	85	83	85	31	Scenario is grounded, integration-aware, and implementation-ready.	N
1c00c5-0d928c	Optimized Module-Line Cycle Time	Module Production Line Cycle Time Optimization	Make	Electric Vehicle Battery & Drive Unit Production	0.88	DETERMINISTIC	MEDIUM	ADVANCE	85	83	85	31	Scenario is grounded, integration-aware, and implementation-ready.	N
c35ec9-a1a4dd	Automated BOM Reliability Optimization	Daily Production Schedule Release	Plan	Production Planning & Scheduling	0.99	DETERMINISTIC	HIGH	ADVANCE	84	83	84	32	Scenario is grounded, integration-aware, and implementation-ready.	N
79ff4d-c8b1fb	AGENTIC Parts Shortage Mitigation	Parts Shortage Risk Assessment	Plan	Production Planning & Scheduling	0.98	AGENTIC	HIGH	ADVANCE	84	80	85	32	Scenario is grounded, integration-aware, and implementation-ready.	N
bf0e98-6449e1	Obsolete & Excess Inventory Rebalancing	Obsolete & Excess Inventory Disposition	Move & Fulfill	Inbound Logistics & Material Flow	0.97	DETERMINISTIC	HIGH	ADVANCE	84	80	87	30	Scenario is grounded, integration-aware, and implementation-ready.	N
d3f282-ba13d3	Automated BIW Closure Load Balancing	Closure Panel Mounting & Gapping	Make	Body Shop & Welding	0.97	DETERMINISTIC	HIGH	ADVANCE	84	80	87	30	Scenario is grounded, integration-aware, and implementation-ready.	N
0edcd0-f407c9	Long-Range Production Synchronization	Long-Range Production Plan Development	Plan	Production Planning & Scheduling	0.99	DETERMINISTIC	HIGH	ADVANCE	81	57	100	21	Scenario is grounded, integration-aware, and implementation-ready.	N
6735ac-fc143c	Demand Drivers Analysis & Actioning	Regression Analysis for Demand Drivers	Plan	Demand Forecasting & Sensing	0.99	DETERMINISTIC	HIGH	ADVANCE	80	71	87	34	Scenario is grounded, integration-aware, and implementation-ready.	N
b00030-ff5738	Real-Time Demand Forecasting Optimization	Time Series Forecasting Model Development	Plan	Demand Forecasting & Sensing	0.98	DETERMINISTIC	HIGH	ADVANCE	80	71	87	34	Scenario is grounded, integration-aware, and implementation-ready.	N
01d486-8ee417	Automated Kitting & Line Feeding	Kitting & Line Feeding for Battery Production	Make	Electric Vehicle Battery & Drive Unit Production	0.97	AGENTIC	HIGH	ADVANCE	79	71	84	38	Scenario is grounded, integration-aware, and implementation-ready.	N
6aedc4-b22a7f	Container Movement Scheduling	Container Movement Scheduling & Optimization	Move & Fulfill	Packaging & Returnable Container Management	0.96	DETERMINISTIC	HIGH	ADVANCE	79	71	84	38	Scenario is grounded, integration-aware, and implementation-ready.	N
f2b379-3e41d2	Select Optimal Supplier for PPAP Readiness	Control Plan, FMEA, & Process Flow Development & Review	Procure Source & Buy	Supplier Quality Management	0.96	AGENTIC	HIGH	ADVANCE	79	71	84	38	Scenario is grounded, integration-aware, and implementation-ready.	N
9f40fb-a20a87	Constraint-Aware Ramp-Up Material Optimization	Launch Volume Ramp-Up Planning	Plan	Production Planning & Scheduling	0.90	DETERMINISTIC	MEDIUM	ADVANCE	79	71	84	38	Scenario is grounded, integration-aware, and implementation-ready.	N
2f7c53-f28e1d	Constraint-Aware Pilot Build Optimization	Pilot Build Schedule Management	Plan	Production Planning & Scheduling	0.89	DETERMINISTIC	MEDIUM	ADVANCE	79	67	87	37	Scenario is grounded, integration-aware, and implementation-ready.	N
6d8d86-637c4c	Production Stop-Start Optimization	Production Stop/Start Decision Making	Plan	Production Planning & Scheduling	0.82	DETERMINISTIC	HIGH	ADVANCE	79	71	85	37	Scenario is grounded, integration-aware, and implementation-ready.	N
65af97-1cb717	Waste-Resilient Vehicle Portfolio Demand	Long-Term 5-Year+ Vehicle Portfolio Demand Projection	Plan	Demand Forecasting & Sensing	0.72	DETERMINISTIC	MEDIUM	ADVANCE	79	71	85	37	Scenario is grounded, integration-aware, and implementation-ready.	N
