skill_id	skill_name	l4_name	verdict	groundedness_score	integration_confidence_score	ambiguity_risk_score	implementation_readiness_score	reasons	is_cross_functional
1c00c5-0d928c	Optimized Module-Line Cycle Time	Module Production Line Cycle Time Optimization	ADVANCE	83	85	31	85	Scenario is grounded, integration-aware, and implementation-ready.	N
c35ec9-a1a4dd	Automated BOM Reliability Optimization	Daily Production Schedule Release	ADVANCE	83	84	32	84	Scenario is grounded, integration-aware, and implementation-ready.	N
79ff4d-c8b1fb	AGENTIC Parts Shortage Mitigation	Parts Shortage Risk Assessment	ADVANCE	80	85	32	84	Scenario is grounded, integration-aware, and implementation-ready.	N
bf0e98-6449e1	Obsolete & Excess Inventory Rebalancing	Obsolete & Excess Inventory Disposition	ADVANCE	80	87	30	84	Scenario is grounded, integration-aware, and implementation-ready.	N
d3f282-ba13d3	Automated BIW Closure Load Balancing	Closure Panel Mounting & Gapping	ADVANCE	80	87	30	84	Scenario is grounded, integration-aware, and implementation-ready.	N
0edcd0-f407c9	Long-Range Production Synchronization	Long-Range Production Plan Development	ADVANCE	57	100	21	81	Scenario is grounded, integration-aware, and implementation-ready.	N
6735ac-fc143c	Demand Drivers Analysis & Actioning	Regression Analysis for Demand Drivers	ADVANCE	71	87	34	80	Scenario is grounded, integration-aware, and implementation-ready.	N
b00030-ff5738	Real-Time Demand Forecasting Optimization	Time Series Forecasting Model Development	ADVANCE	71	87	34	80	Scenario is grounded, integration-aware, and implementation-ready.	N
01d486-8ee417	Automated Kitting & Line Feeding	Kitting & Line Feeding for Battery Production	ADVANCE	71	84	38	79	Scenario is grounded, integration-aware, and implementation-ready.	N
6aedc4-b22a7f	Container Movement Scheduling	Container Movement Scheduling & Optimization	ADVANCE	71	84	38	79	Scenario is grounded, integration-aware, and implementation-ready.	N
f2b379-3e41d2	Select Optimal Supplier for PPAP Readiness	Control Plan, FMEA, & Process Flow Development & Review	ADVANCE	71	84	38	79	Scenario is grounded, integration-aware, and implementation-ready.	N
9f40fb-a20a87	Constraint-Aware Ramp-Up Material Optimization	Launch Volume Ramp-Up Planning	ADVANCE	71	84	38	79	Scenario is grounded, integration-aware, and implementation-ready.	N
2f7c53-f28e1d	Constraint-Aware Pilot Build Optimization	Pilot Build Schedule Management	ADVANCE	67	87	37	79	Scenario is grounded, integration-aware, and implementation-ready.	N
6d8d86-637c4c	Production Stop-Start Optimization	Production Stop/Start Decision Making	ADVANCE	71	85	37	79	Scenario is grounded, integration-aware, and implementation-ready.	N
65af97-1cb717	Waste-Resilient Vehicle Portfolio Demand	Long-Term 5-Year+ Vehicle Portfolio Demand Projection	ADVANCE	71	85	37	79	Scenario is grounded, integration-aware, and implementation-ready.	N
3308bc-ee57eb	Waste-Resilient Ford Pro Parts Allocation	Ford Pro Uptime & Service Contract Demand Modeling	REVIEW	100	85	43	84	Decision flow failed Mermaid validation.	N
vf-4b060a5d	Automated Safety Stock Alignment & S&OP Coordination	Automated Safety Stock Alignment & S&OP Coordination	REVIEW	83	90	43	79	Decision flow failed Mermaid validation.	Y
9a525a-cf1480	Schedule Recovery & Contingency Actions	Schedule Recovery Planning	REVIEW	67	84	41	77	Scenario is plausible but still needs design review before commitment.	N
fd7e19-e35382	Automated Carrier Onboarding & Routing	New Carrier Onboarding & System Integration	REVIEW	67	84	41	77	Scenario is plausible but still needs design review before commitment.	N
5d50c6-32706c	New Vehicle Ramp-Up Optimization	New Vehicle Launch Ramp-Up Planning	REVIEW	83	85	51	77	Decision flow failed Mermaid validation.	N
ac0032-3eb0bf	Stamping Capacity Utilization Optimization	Daily Stamping Production Schedule Generation	REVIEW	57	85	44	73	Scenario is plausible but still needs design review before commitment.	N
