rank	l4_id	l4_name	l3_name	l2_name	l1_name	financial_signal	ai_suitability	decision_density	impact_order	rating_confidence	archetype_completeness	composite	survived	elimination_reason	red_flags	skill_count	aggregated_max_value
12	0844344d84b7	Machine Learning Model Deployment for Prediction	Statistical Demand Modeling & Analytics	Demand Forecasting & Sensing	Plan	1.0000	1.0000	1.0000	1.0000	1.0000	0.8571	0.9714	Y			3	33350000
13	b00030ec8266	Time Series Forecasting Model Development	Statistical Demand Modeling & Analytics	Demand Forecasting & Sensing	Plan	1.0000	1.0000	0.9750	1.0000	1.0000	0.8571	0.9664	Y			3	61100000
14	6d8d86e70c32	Production Stop/Start Decision Making	Constraint & Exception Management	Production Planning & Scheduling	Plan	1.0000	1.0000	0.9750	1.0000	1.0000	0.8571	0.9664	Y			3	30800000
15	ae63922c65b7	Production Progress Tracking & Reporting	Production Schedule Execution & Monitoring	Production Planning & Scheduling	Plan	1.0000	1.0000	0.9500	1.0000	1.0000	0.8571	0.9614	Y			3	42800000
16	b4d954ca0c8d	Engine Block Machining Operations	Core Machining & Component Fabrication	Powertrain Manufacturing (Engine & Transmission)	Make	1.0000	1.0000	0.8000	1.0000	1.0000	1.0000	0.9600	Y			2	21000000
17	22ed5a9d7414	Vehicle Configuration Mix Planning	Demand Forecasting & Analysis	Production Planning & Scheduling	Plan	1.0000	1.0000	0.9250	1.0000	1.0000	0.8571	0.9564	Y			3	14000000
18	32b709149823	Competitor Sales & Production Monitoring	Market & Economic Intelligence Gathering	Demand Forecasting & Sensing	Plan	1.0000	1.0000	0.8500	1.0000	1.0000	0.9286	0.9557	Y			2	34200000
19	9f40fb41b941	Launch Volume Ramp-Up Planning	New Product Introduction (NPI) Production Planning	Production Planning & Scheduling	Plan	1.0000	1.0000	0.9000	1.0000	1.0000	0.8571	0.9514	Y			2	108000000
20	79ff4d404a68	Parts Shortage Risk Assessment	Material Requirements Planning (MRP) Integration	Production Planning & Scheduling	Plan	1.0000	1.0000	0.8250	1.0000	1.0000	0.9286	0.9507	Y			2	27750000
21	01d486151c20	Kitting & Line Feeding for Battery Production	Raw Material & Component Receipt & Kitting	Electric Vehicle Battery & Drive Unit Production	Make	1.0000	1.0000	0.8750	1.0000	1.0000	0.8571	0.9464	Y			2	84000000
22	4510cd1c1ad9	Plant & Line Capacity Modeling	Capacity Planning & Optimization	Production Planning & Scheduling	Plan	1.0000	1.0000	0.8000	1.0000	1.0000	0.9286	0.9457	Y			2	45200000
23	40b06a2ac95a	Bottleneck Identification & Resolution	Capacity Planning & Optimization	Production Planning & Scheduling	Plan	1.0000	1.0000	0.8500	1.0000	1.0000	0.8571	0.9414	Y			2	56000000
24	5d50c6fc9b7f	New Vehicle Launch Ramp-Up Planning	New Program & Lifecycle S&OP Integration	Sales & Operations Planning (S&OP)	Plan	1.0000	1.0000	0.7000	1.0000	1.0000	1.0000	0.9400	Y			1	158000000
25	476457bb6787	Production Schedule Adjustment & Impact Analysis	Constraint Identification & Resolution	Sales & Operations Planning (S&OP)	Plan	1.0000	1.0000	0.7000	1.0000	1.0000	1.0000	0.9400	Y			1	48000000
26	bf0e987d1e34	Obsolete & Excess Inventory Disposition	Warehouse & Inventory Management	Inbound Logistics & Material Flow	Move & Fulfill	1.0000	1.0000	0.7000	1.0000	1.0000	1.0000	0.9400	Y			1	30000000
27	dfef84584407	End-of-Life (EOL) Production Planning	New Product Introduction (NPI) Production Planning	Production Planning & Scheduling	Plan	1.0000	1.0000	0.9750	1.0000	0.6000	0.9048	0.9360	Y			3	12000000
28	9247c61e49d7	Budget & Forecasting S&OP Alignment	Financial Integration & Profitability Analysis	Sales & Operations Planning (S&OP)	Plan	1.0000	1.0000	0.6750	1.0000	1.0000	1.0000	0.9350	Y			1	158000000
29	69e538589b5a	Raw Material & Component Storage Optimization	Warehouse & Inventory Management	Inbound Logistics & Material Flow	Move & Fulfill	1.0000	1.0000	0.6750	1.0000	1.0000	1.0000	0.9350	Y			1	44853000
30	e1378ee50eb8	Buffer & Inventory Strategy for Constraint Management	Constraint Identification & Resolution	Capacity Planning & Constraint Management	Plan	1.0000	1.0000	0.6750	1.0000	1.0000	1.0000	0.9350	Y			1	28000000
31	d8fbd50808bb	Critical Component Shortage Escalation	Constraint Identification & Resolution	Sales & Operations Planning (S&OP)	Plan	1.0000	1.0000	0.6750	1.0000	1.0000	1.0000	0.9350	Y			1	18000000
32	ac003240ad51	Daily Stamping Production Schedule Generation	Production Planning & Scheduling (Stamping)	Stamping Operations	Make	1.0000	1.0000	0.6750	1.0000	1.0000	1.0000	0.9350	Y			1	7000000
33	d3f282c594cb	Closure Panel Mounting & Gapping	Body-In-White (BIW) Assembly Execution	Body Shop & Welding	Make	1.0000	1.0000	0.8000	1.0000	1.0000	0.8571	0.9314	Y			2	48000000
34	e90f0c8200f8	Dealer Network Demand Feedback Collection	Cross-Functional Demand Collaboration	Demand Forecasting & Sensing	Plan	1.0000	1.0000	1.0000	1.0000	0.6000	0.8571	0.9314	Y			3	20100000
35	e69f6bcd43dc	Consumable & Wear Part Replenishment Forecasting	Service Parts Demand Forecasting	Demand Forecasting & Sensing	Plan	1.0000	1.0000	1.0000	1.0000	0.6000	0.8571	0.9314	Y			3	7600000
36	2f7c5384f963	Pilot Build Schedule Management	New Product Introduction (NPI) Production Planning	Production Planning & Scheduling	Plan	1.0000	1.0000	0.8000	1.0000	1.0000	0.8571	0.9314	Y			2	3700000
37	62e2cc249c01	Production Line Kit Building & Sequencing	Line-side Material Delivery	Inbound Logistics & Material Flow	Move & Fulfill	1.0000	1.0000	0.6500	1.0000	1.0000	1.0000	0.9300	Y			1	45000000
38	34ea50a5dc2c	Global Sales Forecast Aggregation	Demand Forecasting & Analysis	Production Planning & Scheduling	Plan	1.0000	1.0000	0.9750	1.0000	0.6000	0.8571	0.9264	Y			3	25200000
39	3f4f211dc7b9	Changeover Planning & Coordination	Production Schedule Execution & Monitoring	Production Planning & Scheduling	Plan	1.0000	1.0000	0.6250	1.0000	1.0000	1.0000	0.9250	Y			1	28000000
40	6aedc458687b	Container Movement Scheduling & Optimization	Returnable Container Logistics & Tracking	Packaging & Returnable Container Management	Move & Fulfill	1.0000	1.0000	0.6250	1.0000	1.0000	1.0000	0.9250	Y			1	15000000
41	1b38c2043f1b	Just-in-Sequence (JIS) Part Delivery Execution	Line-side Material Delivery	Inbound Logistics & Material Flow	Move & Fulfill	1.0000	1.0000	0.6250	1.0000	1.0000	1.0000	0.9250	Y			1	9000000
42	95b037877e4f	Empty Container Return Loop Management	Returnable Container Logistics & Tracking	Packaging & Returnable Container Management	Move & Fulfill	1.0000	1.0000	0.6250	1.0000	1.0000	1.0000	0.9250	Y			1	8000000
43	48492efa373c	Shop Floor Data Collection & Analysis	Manufacturing Systems & IT Support	Production Support Services	Make	1.0000	1.0000	0.8750	1.0000	0.6000	0.9286	0.9207	Y			2	104000000
44	65af97ee7718	Long-Term 5-Year+ Vehicle Portfolio Demand Projection	Strategic Demand Planning & Scenario Modeling	Demand Forecasting & Sensing	Plan	1.0000	1.0000	0.8500	1.0000	0.6000	0.9286	0.9157	Y			2	507302000
45	1c00c5ce5d2b	Module Production Line Cycle Time Optimization	Battery Module Assembly	Electric Vehicle Battery & Drive Unit Production	Make	1.0000	1.0000	0.8500	1.0000	0.6000	0.9286	0.9157	Y			2	50000000
46	vf-4b060a5d	Automated Safety Stock Alignment & S&OP Coordination	Cross-Functional: Fulfill + Finance + Plan	Value Flow	Cross-Functional	1.0000	1.0000	0.7000	1.0000	1.0000	0.8571	0.9114	Y			1	520000000
47	vf-db1dfbe6	Automated Finished Goods Aging Coordination	Cross-Functional: Make + Finance + Sell + Plan	Value Flow	Cross-Functional	1.0000	1.0000	0.7000	1.0000	1.0000	0.8571	0.9114	Y			1	520000000
48	vf-fb11bcdc	Automated Demand-Capacity Alignment for Order Promising	Cross-Functional: Customer + Fulfill + Sell + Deliver	Value Flow	Cross-Functional	1.0000	1.0000	0.7000	1.0000	1.0000	0.8571	0.9114	Y			1	520000000
49	vf-eaa34439	Automated Channel Margin Coherence & Price-Protection Orchestration	Cross-Functional: Finance + Customer + Sell	Value Flow	Cross-Functional	1.0000	1.0000	0.7000	1.0000	1.0000	0.8571	0.9114	Y			1	500000000
50	fd7e1937806c	New Carrier Onboarding & System Integration	Carrier Performance & Relationship Management	Outbound Vehicle Logistics & Distribution	Move & Fulfill	1.0000	1.0000	0.9000	1.0000	0.6000	0.8571	0.9114	Y			2	125000000
51	f2b379683dbd	Control Plan, FMEA, & Process Flow Development & Review	Advanced Product Quality Planning (APQP) & PPAP Management	Supplier Quality Management	Procure Source & Buy	1.0000	1.0000	0.9000	1.0000	0.6000	0.8571	0.9114	Y			2	42000000
52	3308bcc2429c	Ford Pro Uptime & Service Contract Demand Modeling	Service Parts Demand Forecasting	Demand Forecasting & Sensing	Plan	1.0000	1.0000	0.9000	1.0000	0.6000	0.8571	0.9114	Y			2	4400000
53	5a701b9a049c	Manpower & Equipment Resource Allocation	Capacity Planning & Optimization	Production Planning & Scheduling	Plan	1.0000	0.5000	1.0000	1.0000	1.0000	0.9286	0.9107	N			4	34600000
54	aed845d90b12	Seasonal Logistics Capacity Adjustment	Logistics Capacity Planning	Capacity Planning & Constraint Management	Plan	1.0000	1.0000	0.6750	1.0000	1.0000	0.8571	0.9064	N			1	210000000
55	a8e2cf95585a	Real-Time Production Constraint Monitoring	Constraint Identification & Resolution	Capacity Planning & Constraint Management	Plan	1.0000	1.0000	0.6750	1.0000	1.0000	0.8571	0.9064	N			1	140000000
56	fb0e4730c029	Launch Logistics Capacity Contingency Planning	Launch Logistics & Distribution Planning	New Product Launch Planning	Plan	1.0000	1.0000	0.6750	1.0000	1.0000	0.8571	0.9064	N			1	140000000
57	d6c2abe81cd2	Supplier Quality Monitoring (for Blanks/Coils)	Quality Assurance & Control (Stamping)	Stamping Operations	Make	1.0000	1.0000	0.6750	1.0000	1.0000	0.8571	0.9064	N			1	60000000
58	8b9331dbc067	Non-Conforming Material Segregation & Reporting	Receiving & Putaway Operations	Inbound Logistics & Material Flow	Move & Fulfill	1.0000	1.0000	0.6750	1.0000	1.0000	0.8571	0.9064	N			1	44853000
59	286e6636f060	Labor Availability & Shift Planning	Labor & Skills Capacity Planning	Capacity Planning & Constraint Management	Plan	1.0000	1.0000	0.6750	1.0000	1.0000	0.8571	0.9064	N			1	40000000
60	d8b5034a4305	Launch Issue Tracking & Resolution Management	Launch Risk & Issue Management	New Product Launch Planning	Plan	1.0000	1.0000	0.6750	1.0000	1.0000	0.8571	0.9064	N			1	40000000
61	05a324f5908c	Allocation & Prioritization Strategy Development	Constraint Identification & Resolution	Sales & Operations Planning (S&OP)	Plan	1.0000	1.0000	0.6750	1.0000	1.0000	0.8571	0.9064	N			1	38000000
62	b9c85d7c96a3	Forecast vs. Actuals Variance Analysis	S&OP Performance Monitoring & Improvement	Sales & Operations Planning (S&OP)	Plan	1.0000	1.0000	0.6750	1.0000	1.0000	0.8571	0.9064	N			1	34000000
63	4ef93c599bf3	Root Cause Analysis for Plan Deviations	S&OP Performance Monitoring & Improvement	Sales & Operations Planning (S&OP)	Plan	1.0000	1.0000	0.6750	1.0000	1.0000	0.8571	0.9064	N			1	28000000
64	b6c43481fc81	Capacity Planning Demand Input Generation	Strategic Demand Planning & Scenario Modeling	Demand Forecasting & Sensing	Plan	1.0000	1.0000	0.8750	1.0000	0.6000	0.8571	0.9064	N			2	5680000
65	935540851597	New Product Launch Risk Assessment & Mitigation Planning	Launch Risk & Issue Management	New Product Launch Planning	Plan	1.0000	1.0000	0.6500	1.0000	1.0000	0.8571	0.9014	N			1	70000000
66	5f1ea9c2130c	PO Status Tracking & Expediting	Purchase Order (PO) Management	Procurement Operations & Compliance	Procure Source & Buy	1.0000	1.0000	0.6500	1.0000	1.0000	0.8571	0.9014	N			1	48000000
67	dce33bb3a06a	Final Engine Dressing & Sub-Assembly Integration	Powertrain Assembly & Sub-Assembly	Powertrain Manufacturing (Engine & Transmission)	Make	1.0000	1.0000	0.6500	1.0000	1.0000	0.8571	0.9014	N			1	45000000
68	2f6d16355c2f	Transmission Gear Train Assembly	Powertrain Assembly & Sub-Assembly	Powertrain Manufacturing (Engine & Transmission)	Make	1.0000	1.0000	0.6500	1.0000	1.0000	0.8571	0.9014	N			1	42000000
69	86084245580f	High-Impact Part Quality Monitoring	Current Production Supplier Quality Monitoring	Supplier Quality Management	Procure Source & Buy	1.0000	1.0000	0.6500	1.0000	1.0000	0.8571	0.9014	N			1	32000000
70	2db049c02d7b	Replenishment Trigger & Pull System Management	Line-side Material Delivery	Inbound Logistics & Material Flow	Move & Fulfill	1.0000	1.0000	0.6500	1.0000	1.0000	0.8571	0.9014	N			1	30000000
71	fc4ba5c65c2e	Invoice Receipt & Validation	Invoice & Payment Reconciliation	Procurement Operations & Compliance	Procure Source & Buy	1.0000	1.0000	0.6500	1.0000	1.0000	0.8571	0.9014	N			1	4300000
72	904c8ef2d960	Production Line Layout & Ergonomics Optimization	Process Engineering & Continuous Improvement	Electric Vehicle Battery & Drive Unit Production	Make	1.0000	1.0000	0.7000	1.0000	0.6000	1.0000	0.9000	N			1	26000000
73	aa5480dfa53f	Model Mix Management & Line Balancing	Production Planning & Sequencing Integration	Body Shop & Welding	Make	1.0000	1.0000	0.7000	1.0000	0.6000	1.0000	0.9000	N			1	20000000
74	da73b48992ea	Order Sequencing for Production Lines	Order to Production Scheduling Integration	Order Management & Fulfillment	Move & Fulfill	1.0000	1.0000	0.7000	1.0000	0.6000	1.0000	0.9000	N			1	18000000
75	2f1dd32ebb45	Production Slot Allocation to Orders	Vehicle & Part Order Allocation	Order Management & Fulfillment	Move & Fulfill	1.0000	1.0000	0.7000	1.0000	0.6000	1.0000	0.9000	N			1	16000000
76	21b531ade2f8	Rework & Repair Station Operations & Quality Rework	Exception & Non-Conformance Management	Trim Chassis & Final Assembly	Make	1.0000	1.0000	0.7000	1.0000	0.6000	1.0000	0.9000	N			1	9000000
77	caac80d2ce53	VDC Outbound Loading	Vehicle Distribution Center (VDC) Operations	Outbound Vehicle Logistics & Distribution	Move & Fulfill	1.0000	1.0000	0.7000	1.0000	0.6000	1.0000	0.9000	N			1	7000000
78	9c4e7ded6ca3	Supplier Quality Audit & Certification Management	Supplier Quality & Development	Supplier Relationship Management	Procure Source & Buy	1.0000	1.0000	0.6250	1.0000	1.0000	0.8571	0.8964	N			1	32000000
79	831cc37de941	In-Process Quality Checks & Inspections	Quality Control & Performance Testing	Powertrain Manufacturing (Engine & Transmission)	Make	1.0000	1.0000	0.6250	1.0000	1.0000	0.8571	0.8964	N			1	30000000
80	428cbc962c3c	BIW Quality Gate Inspection & Release	Body-In-White (BIW) Assembly Execution	Body Shop & Welding	Make	1.0000	1.0000	0.6250	1.0000	1.0000	0.8571	0.8964	N			1	20000000
81	e5f36f3db912	Predictive Maintenance Execution (Stamping)	Equipment Maintenance & Reliability	Stamping Operations	Make	1.0000	1.0000	0.6250	1.0000	1.0000	0.8571	0.8964	N			1	15000000
82	550bfd38f04c	Escalation Management & Resolution Pathways	Supplier Communication & Collaboration	Supplier Relationship Management	Procure Source & Buy	1.0000	1.0000	0.6250	1.0000	1.0000	0.8571	0.8964	N			1	12000000
83	dd5d9eaccc02	Emergency Equipment Repair & Downtime Management	Paint Shop Maintenance & Reliability	Paint Operations	Make	1.0000	1.0000	0.6250	1.0000	1.0000	0.8571	0.8964	N			1	12000000
84	f0bf44ab2d23	Non-Conforming Product Disposition & Rework Authorization	Quality Control & Performance Testing	Powertrain Manufacturing (Engine & Transmission)	Make	1.0000	1.0000	0.6250	1.0000	1.0000	0.8571	0.8964	N			1	12000000
85	13a971c72e71	Payment Authorization & Scheduling	Invoice & Payment Reconciliation	Procurement Operations & Compliance	Procure Source & Buy	1.0000	1.0000	0.6250	1.0000	1.0000	0.8571	0.8964	N			1	1000000
86	415855b88d07	Computerized Maintenance Management System (CMMS) Configuration	Maintenance Strategy & Planning	Plant Maintenance & Reliability	Make	1.0000	1.0000	0.7500	1.0000	0.6000	0.9286	0.8957	N			2	17000000
87	399bd9b088e5	Process Flow Design & Optimization	Manufacturing Engineering & Process Development	Production Support Services	Make	1.0000	1.0000	0.6750	1.0000	0.6000	1.0000	0.8950	N			1	60000000
88	638aeec6a122	Warehouse Location & Layout Optimization	Inbound Logistics Network Design & Optimization	Inbound Logistics & Material Flow	Move & Fulfill	1.0000	1.0000	0.6750	1.0000	0.6000	1.0000	0.8950	N			1	60000000
89	64b772180545	Robotic Path Planning & Simulation	Paint Process Engineering & Optimization	Paint Operations	Make	1.0000	1.0000	0.6750	1.0000	0.6000	1.0000	0.8950	N			1	40000000
90	6d2a0dc02b51	Production Schedule Input Validation	Demand & Supply Data Integration	Inventory Planning & Optimization	Plan	1.0000	1.0000	0.6750	1.0000	0.6000	1.0000	0.8950	N			1	32000000
91	3ad017a40e9b	Daily Build Sequence Adherence	Production Planning & Sequencing Integration	Body Shop & Welding	Make	1.0000	1.0000	0.6750	1.0000	0.6000	1.0000	0.8950	N			1	4200000
92	86d937c0f195	Cross-Platform Capacity Sharing Assessment	Strategic Capacity Planning	Capacity Planning & Constraint Management	Plan	1.0000	1.0000	0.8000	1.0000	0.6000	0.8571	0.8914	N			2	68000000
93	870b366e88d7	Bill of Material (BOM) Release & Management	Material Requirements Planning (MRP) Integration	Production Planning & Scheduling	Plan	1.0000	0.5000	0.9750	1.0000	1.0000	0.8571	0.8914	N			3	52500000
94	08e7530fc060	Consumer Preference & Behavior Surveys	Market & Economic Intelligence Gathering	Demand Forecasting & Sensing	Plan	1.0000	0.5000	0.9750	1.0000	1.0000	0.8571	0.8914	N			3	45600000
95	0fc0ba7ee231	End-of-Line Pack Functionality & Performance Testing	Battery Pack Assembly	Electric Vehicle Battery & Drive Unit Production	Make	1.0000	1.0000	0.8000	1.0000	0.6000	0.8571	0.8914	N			2	13000000
96	2c69fbe7ebb5	Plant Line Speed & Throughput Analysis	Internal Manufacturing Capacity Analysis	Capacity Planning & Constraint Management	Plan	1.0000	1.0000	0.6500	1.0000	0.6000	1.0000	0.8900	N			1	40000000
97	5282a62bb1fe	Plant Layout & Material Flow Optimization	Manufacturing System Integration & Layout Design	Manufacturing Engineering & Process Design	Make	1.0000	1.0000	0.6500	1.0000	0.6000	1.0000	0.8900	N			1	28000000
98	dcf837eef332	Production Sequencing & Load Balancing	Production Planning & Scheduling (Stamping)	Stamping Operations	Make	1.0000	1.0000	0.6500	1.0000	0.6000	1.0000	0.8900	N			1	15000000
99	f396dcb60cd5	Coil Slitting & Blanking Operations	Material Handling & Preparation	Stamping Operations	Make	1.0000	1.0000	0.6500	1.0000	0.6000	1.0000	0.8900	N			1	11000000
100	08bf7c733af5	Contract Expiration & Renewal Management	Contract & Agreement Management (Post-Award)	Procurement Operations & Compliance	Procure Source & Buy	1.0000	1.0000	0.7750	1.0000	0.6000	0.8571	0.8864	N			2	220000000
101	29e9e29827e8	Capital Equipment Payment Milestone Management	Tooling & Capital Equipment PO Management	Purchase Order Management & Execution	Procure Source & Buy	1.0000	1.0000	0.7750	1.0000	0.6000	0.8571	0.8864	N			2	74853000
102	78f04af920a8	Final Mile Delivery Scheduling & Coordination	Dealer & Customer Delivery Operations	Outbound Vehicle Logistics & Distribution	Move & Fulfill	1.0000	1.0000	0.7750	1.0000	0.6000	0.8571	0.8864	N			2	60000000
103	626cc909e4b8	Overall Equipment Effectiveness (OEE) Impact Analysis	Maintenance Performance Monitoring & Continuous Improvement	Plant Maintenance & Reliability	Make	1.0000	1.0000	0.7750	1.0000	0.6000	0.8571	0.8864	N			2	51000000
104	f9307bc7a6f9	Manufacturing Plant Capacity Assessment	Supply Chain Capacity Planning	Supply Network Design & Planning	Plan	1.0000	1.0000	0.6250	1.0000	0.6000	1.0000	0.8850	N			1	86000000
105	697dd488f146	Fulfillment Cost Analysis & Optimization	Order Fulfillment Performance Reporting & Analytics	Order Management & Fulfillment	Move & Fulfill	1.0000	1.0000	0.6250	1.0000	0.6000	1.0000	0.8850	N			1	45000000
106	c0bb271db911	Kitting & Sub-Assembly Preparation	Order Fulfillment & Picking	Warehouse & Distribution Center Operations	Move & Fulfill	1.0000	1.0000	0.6250	1.0000	0.6000	1.0000	0.8850	N			1	40000000
107	635db0c03113	Long-Range Capacity Demand Forecasting	Supply Chain Capacity Planning	Supply Network Design & Planning	Plan	1.0000	1.0000	0.6250	1.0000	0.6000	1.0000	0.8850	N			1	38358000
108	bd911ef833c1	Assembly Line Rebalancing Capacity Optimization	Internal Manufacturing Capacity Analysis	Capacity Planning & Constraint Management	Plan	1.0000	1.0000	0.6250	1.0000	0.6000	1.0000	0.8850	N			1	32000000
109	041e8a9dfd9e	Regional Distribution Center Operational Planning	Service Parts Network Design & Operations	Service Parts Planning & Management	Service	1.0000	1.0000	0.6250	1.0000	0.6000	1.0000	0.8850	N			1	25000000
110	0eda45d093cc	Equipment Uptime & OEE Capacity Impact Assessment	Internal Manufacturing Capacity Analysis	Capacity Planning & Constraint Management	Plan	1.0000	1.0000	0.6250	1.0000	0.6000	1.0000	0.8850	N			1	25000000
111	11cec3ba2d37	Transmission Case & Gear Fabrication	Core Machining & Component Fabrication	Powertrain Manufacturing (Engine & Transmission)	Make	1.0000	0.5000	0.8000	1.0000	1.0000	1.0000	0.8850	N			2	24000000
112	2fbbad06c938	Safety Stock Calculation & Optimization	Inventory & Working Capital Optimization	Integrated Business Planning (IBP)	Plan	1.0000	1.0000	0.6250	1.0000	0.6000	1.0000	0.8850	N			1	20000000
113	1a4866d6b8ec	Logistics Network Simulation & Modeling	Inbound Logistics Network Design & Optimization	Inbound Logistics & Material Flow	Move & Fulfill	1.0000	1.0000	0.6250	1.0000	0.6000	1.0000	0.8850	N			1	14000000
114	644412d3d01a	Outbound Shipping & Manifesting	Service Parts Warehouse & Distribution Center Operations	Service Parts Logistics & Distribution	Move & Fulfill	1.0000	1.0000	0.6250	1.0000	0.6000	1.0000	0.8850	N			1	12000000
115	cb7db4693447	Picking	Service Parts Warehouse & Distribution Center Operations	Service Parts Logistics & Distribution	Move & Fulfill	1.0000	1.0000	0.6250	1.0000	0.6000	1.0000	0.8850	N			1	8000000
116	47d8aaa2ea58	Material Delivery to Press Line	Material Handling & Preparation	Stamping Operations	Make	1.0000	1.0000	0.6250	1.0000	0.6000	1.0000	0.8850	N			1	4000000
117	vf-6581cdeb	Automated Dynamic Margin-Aware Pricing-to-Plan Alignment	Cross-Functional: Finance + Plan + Make + Sell + Marketing	Value Flow	Cross-Functional	1.0000	1.0000	0.7000	1.0000	1.0000	0.7143	0.8829	N			1	650000000
118	vf-798f5ff7	Automated Changeover Cost-Driven Production Sequencing	Cross-Functional: Make + Fulfill + Plan	Value Flow	Cross-Functional	1.0000	1.0000	0.7000	1.0000	1.0000	0.7143	0.8829	N			1	560000000
119	vf-8f16a282	Automated Demand-Plan Alignment for Sales Compensation Loop	Cross-Functional: Make + Finance + Sell + Plan	Value Flow	Cross-Functional	1.0000	1.0000	0.7000	1.0000	1.0000	0.7143	0.8829	N			1	560000000
120	vf-368533f5	Automated Quote-to-Cash Coordination for Cash Flow Optimization	Cross-Functional: Make + Sell + Deliver + Plan	Value Flow	Cross-Functional	1.0000	1.0000	0.7000	1.0000	1.0000	0.7143	0.8829	N			1	520000000
121	vf-b85f7ce2	Automated Dealer Allocation Fairness Orchestrator	Cross-Functional: Make + Fulfill + Sell + Plan	Value Flow	Cross-Functional	1.0000	1.0000	0.7000	1.0000	1.0000	0.7143	0.8829	N			1	500000000
122	vf-44bedfca	Automated Regional Demand Alignment and Cross-Region Inventory Rebalancing	Cross-Functional: Fulfill + Sell + Deliver + Plan	Value Flow	Cross-Functional	1.0000	1.0000	0.7000	1.0000	1.0000	0.7143	0.8829	N			1	420000000
123	2187cd8a8be6	Transport Security & Theft Prevention Protocols	Compliance & Risk Management	Outbound Vehicle Logistics & Distribution	Move & Fulfill	1.0000	1.0000	0.7500	1.0000	0.6000	0.8571	0.8814	N			2	3000000
124	b71df2881f5b	Strategic Stocking Location Determination	Inventory Positioning & Optimization	Logistics Network Optimization	Move & Fulfill	1.0000	1.0000	0.6000	1.0000	0.6000	1.0000	0.8800	N			1	44853000
125	a4bf113c7228	DC / Cross-Dock Location Strategy	Warehouse & Distribution Center Network Management	Logistics Network Optimization	Move & Fulfill	1.0000	1.0000	0.6000	1.0000	0.6000	1.0000	0.8800	N			1	28000000
126	b88fc99c22dc	Parts & Materials Storage Optimization	Warehouse & Distribution Center Network Management	Logistics Network Optimization	Move & Fulfill	1.0000	1.0000	0.6000	1.0000	0.6000	1.0000	0.8800	N			1	17000000
127	6ddd35a83ac8	Scenario Planning & Simulation Modeling	Logistics Network Design & Modeling	Logistics Network Optimization	Move & Fulfill	1.0000	1.0000	0.6000	1.0000	0.6000	1.0000	0.8800	N			1	6000000
128	8d2c8fe4d137	Core Return Logistics Management	Service Parts Logistics Operations	Transportation Management & Carrier Operations	Move & Fulfill	1.0000	1.0000	0.6000	1.0000	0.6000	1.0000	0.8800	N			1	2500000
129	a77d231b2cdc	Monthly Warranty Cost Trend Analysis & Reporting	Warranty Performance Monitoring & Analytics	Warranty Administration & Claims Management	Service	1.0000	1.0000	0.5750	1.0000	0.6000	1.0000	0.8750	N			1	1500000
