skill_id	skill_name	l4_name	l1_name	l2_name	composite	archetype	confidence	verdict	implementation_readiness_score	groundedness_score	integration_confidence_score	ambiguity_risk_score	reasons	is_cross_functional
7b3540-fec1ff	Optimize Demand Segmentation	Assess Data for Segmentation	Plan	Forecast Analytics	0.76	DETERMINISTIC	HIGH	ADVANCE	100	100	100	0	Scenario is grounded, integration-aware, and implementation-ready.	N
cf-820d2938	Cross-Domain Demand-Driven Sequencing	Cross-Domain Demand-Driven Sequencing	Cross-Functional	Cross Functional	0.89	DETERMINISTIC	HIGH	ADVANCE	99	100	98	4	Scenario is grounded, integration-aware, and implementation-ready.	Y
cf-e6d602b4	Automated Demand-Supply Scenario Coordination	Automated Demand-Supply Scenario Coordination	Cross-Functional	Cross Functional	0.83	DETERMINISTIC	HIGH	ADVANCE	99	100	97	4	Scenario is grounded, integration-aware, and implementation-ready.	Y
f22996-27b49f	Automated Tactical Sourcing Allocation	Conduct Tactical Sourcing Event	Source & Procure	Sourcing	0.96	AGENTIC	HIGH	ADVANCE	97	100	94	9	Scenario is grounded, integration-aware, and implementation-ready.	N
3c579c-f28159	Agile Strategic Sourcing Orchestrator	Conduct Rfx, Rfp Or Auction	Source & Procure	Sourcing	0.96	AGENTIC	HIGH	ADVANCE	96	100	92	12	Scenario is grounded, integration-aware, and implementation-ready.	N
7484ce-4ab000	Product Classification Optimization	Classify Products	Fulfill	Global Trade Management	0.95	DETERMINISTIC	HIGH	ADVANCE	96	100	92	12	Scenario is grounded, integration-aware, and implementation-ready.	N
a98d7b-9986f7	Implement Segmentation Results	Implement Results of Assessment	Plan	Forecast Analytics	0.84	DETERMINISTIC	MEDIUM	ADVANCE	96	100	93	11	Scenario is grounded, integration-aware, and implementation-ready.	N
c1e538-b63a85	Autonomous DRP Capacity Optimization	Perform Feasibility Check	Plan	Tactical Supply Planning	0.93	DETERMINISTIC	HIGH	ADVANCE	94	86	100	7	Scenario is grounded, integration-aware, and implementation-ready.	N
d3da30-07c468	Dynamic Purchase Order Change Orchestration	Manage Purchase Order Changes & Approvals	Source & Procure	Order to "Ok To Pay"	0.90	AGENTIC	MEDIUM	ADVANCE	94	86	100	7	Scenario is grounded, integration-aware, and implementation-ready.	N
59d45a-d610a1	Automated Stress Testing & Resilience Optimization	Manage Stress Testing & Digital Twins	Source & Procure	Risk & Resiliency	0.96	AGENTIC	HIGH	ADVANCE	92	86	97	11	Scenario is grounded, integration-aware, and implementation-ready.	N
821c78-85e467	Multi-Tier Supplier Mapping Orchestrator	Manage N-Tier Supplier Mapping & Visibility	Source & Procure	Risk & Resiliency	0.95	AGENTIC	HIGH	ADVANCE	92	83	100	8	Scenario is grounded, integration-aware, and implementation-ready.	N
3b24cf-a2ea34	Demand-Driven Capacity Expansion	Analyse Impact of Increase In Demand	Plan	Sales & Operations Planning	0.91	DETERMINISTIC	HIGH	ADVANCE	92	83	100	8	Scenario is grounded, integration-aware, and implementation-ready.	N
a12e86-5d38d8	Autonomous Demand-Plan Review	Review of Production Capacity	Plan	Tactical Supply Planning	0.91	DETERMINISTIC	HIGH	ADVANCE	92	83	100	8	Scenario is grounded, integration-aware, and implementation-ready.	N
cf-24ef36c5	Automated Demand-Constrained Production Scheduling	Automated Demand-Constrained Production Scheduling	Cross-Functional	Cross Functional	0.91	DETERMINISTIC	HIGH	ADVANCE	92	83	100	8	Scenario is grounded, integration-aware, and implementation-ready.	Y
vf-0ba5d586	Automated Cross-Functional OTIF-Driven Fulfillment Tradeoff	Automated Cross-Functional OTIF-Driven Fulfillment Tradeoff	Cross-Functional	Value Flow	0.90	DETERMINISTIC	HIGH	ADVANCE	92	83	100	8	Scenario is grounded, integration-aware, and implementation-ready.	Y
vf-3654664e	Automated Safety Stock Coordination Across Planning and Fulfillment	Automated Safety Stock Coordination Across Planning and Fulfillment	Cross-Functional	Value Flow	0.90	DETERMINISTIC	HIGH	ADVANCE	92	83	100	8	Scenario is grounded, integration-aware, and implementation-ready.	Y
6f7498-9c5839	SKU Segmentation-Driven Cost Optimization	Review SKU Segmentation Rules	Plan	Sales & Operations Planning	0.87	DETERMINISTIC	HIGH	ADVANCE	92	83	100	8	Scenario is grounded, integration-aware, and implementation-ready.	N
0199b6-ee3e3d	Best Model & Algorithm Selection	Determine Best Model & Algorithm	Plan	Forecast Analytics	0.87	DETERMINISTIC	HIGH	ADVANCE	92	83	100	8	Scenario is grounded, integration-aware, and implementation-ready.	N
vf-072c847e	Automated Regional Demand Rebalancing	Automated Regional Demand Rebalancing	Cross-Functional	Value Flow	0.83	DETERMINISTIC	HIGH	ADVANCE	92	83	100	8	Scenario is grounded, integration-aware, and implementation-ready.	Y
d8faf5-6edff6	Autonomous Revenue-Protection Optimization	Review Unfulfilled Demand	Plan	Sales & Operations Execution	0.97	AGENTIC	HIGH	ADVANCE	91	80	100	10	Scenario is grounded, integration-aware, and implementation-ready.	N
cf-8723a10a	Integrated Demand-Driven Sourcing	Integrated Demand-Driven Sourcing	Cross-Functional	Cross Functional	0.91	DETERMINISTIC	HIGH	ADVANCE	91	80	100	10	Scenario is grounded, integration-aware, and implementation-ready.	Y
vf-d711e034	Automated Demand-Promising Coordination	Automated Demand-Promising Coordination	Cross-Functional	Value Flow	0.84	DETERMINISTIC	HIGH	ADVANCE	91	80	100	10	Scenario is grounded, integration-aware, and implementation-ready.	Y
f0d9d8-868ab6	Total Cost Breakdown for Sourcing	Assess Sourcing Opportunity	Source & Procure	Sourcing	0.75	DETERMINISTIC	HIGH	ADVANCE	90	83	95	16	Scenario is grounded, integration-aware, and implementation-ready.	N
2a146e-f4db13	Deterministic Supplier Selection for Spot Buy	Select Supplier	Source & Procure	Order to "Ok To Pay"	0.95	DETERMINISTIC	HIGH	ADVANCE	89	83	94	17	Scenario is grounded, integration-aware, and implementation-ready.	N
7ebb9b-62c651	Ml Forecast Model – Market Inputs	Gather Market Inputs	Plan	Forecast Analytics	0.91	DETERMINISTIC	HIGH	ADVANCE	89	83	94	17	Scenario is grounded, integration-aware, and implementation-ready.	N
cf-999807ae	Synchronized ATP/CTP with Supplier Readiness	Synchronized ATP/CTP with Supplier Readiness	Cross-Functional	Cross Functional	0.90	DETERMINISTIC	HIGH	ADVANCE	89	75	100	13	Scenario is grounded, integration-aware, and implementation-ready.	Y
89ff8b-735609	Import/Export Valuation Automation	Manage Product Import/Export Valuation	Fulfill	Global Trade Management	0.71	DETERMINISTIC	MEDIUM	ADVANCE	89	80	96	16	Scenario is grounded, integration-aware, and implementation-ready.	N
a0259e-162636	Purchase Order Automation Orchestration	Create Purchase Order	Source & Procure	Order to "Ok To Pay"	0.88	DETERMINISTIC	HIGH	ADVANCE	88	80	95	18	Scenario is grounded, integration-aware, and implementation-ready.	N
b60144-9520da	Autonomous Goods Receiving Orchestrator	Physically Receive And Inspect Goods Or Services	Source & Procure	Order to "Ok To Pay"	0.97	AGENTIC	HIGH	ADVANCE	85	71	97	19	Scenario is grounded, integration-aware, and implementation-ready.	N
18d2bf-8b7b29	Automated Supply Scenario Optimization	Determine And Simulate Scenarios	Plan	Tactical Supply Planning	0.97	DETERMINISTIC	HIGH	ADVANCE	85	67	100	17	Scenario is grounded, integration-aware, and implementation-ready.	N
37a91e-b7c2da	Automated Receipt-Validation for Payables	Create Receipt of Goods Or Services	Source & Procure	Order to "Ok To Pay"	0.88	DETERMINISTIC	HIGH	ADVANCE	85	67	100	17	Scenario is grounded, integration-aware, and implementation-ready.	N
a34ce3-b47247	Automated Critical Material Data Balancing	Maintain Critical Material Data	Plan	Supply Strategy & Analytics	0.88	DETERMINISTIC	HIGH	ADVANCE	85	67	100	17	Scenario is grounded, integration-aware, and implementation-ready.	N
0f137d-f150b0	Feature Engineering & Process Tuning	Determine New Features and Update Process	Plan	Forecast Analytics	0.91	DETERMINISTIC	HIGH	ADVANCE	84	71	95	22	Scenario is grounded, integration-aware, and implementation-ready.	N
08680c-47bda5	Global Trade Master Data Automation	Set Up & Manage Global Trade Master Data	Fulfill	Global Trade Management	0.88	DETERMINISTIC	HIGH	ADVANCE	78	57	94	30	Scenario is grounded, integration-aware, and implementation-ready.	N
