skill_id	skill_name	l4_name	verdict	groundedness_score	integration_confidence_score	ambiguity_risk_score	implementation_readiness_score	reasons	is_cross_functional
a98d7b-9986f7	Implement Segmentation Results	Implement Results of Assessment	ADVANCE	100	93	11	96	Scenario is grounded, integration-aware, and implementation-ready.	N
c1e538-b63a85	Autonomous DRP Capacity Optimization	Perform Feasibility Check	ADVANCE	86	100	7	94	Scenario is grounded, integration-aware, and implementation-ready.	N
d3da30-07c468	Dynamic Purchase Order Change Orchestration	Manage Purchase Order Changes & Approvals	ADVANCE	86	100	7	94	Scenario is grounded, integration-aware, and implementation-ready.	N
59d45a-d610a1	Automated Stress Testing & Resilience Optimization	Manage Stress Testing & Digital Twins	ADVANCE	86	97	11	92	Scenario is grounded, integration-aware, and implementation-ready.	N
821c78-85e467	Multi-Tier Supplier Mapping Orchestrator	Manage N-Tier Supplier Mapping & Visibility	ADVANCE	83	100	8	92	Scenario is grounded, integration-aware, and implementation-ready.	N
3b24cf-a2ea34	Demand-Driven Capacity Expansion	Analyse Impact of Increase In Demand	ADVANCE	83	100	8	92	Scenario is grounded, integration-aware, and implementation-ready.	N
a12e86-5d38d8	Autonomous Demand-Plan Review	Review of Production Capacity	ADVANCE	83	100	8	92	Scenario is grounded, integration-aware, and implementation-ready.	N
cf-24ef36c5	Automated Demand-Constrained Production Scheduling	Automated Demand-Constrained Production Scheduling	ADVANCE	83	100	8	92	Scenario is grounded, integration-aware, and implementation-ready.	Y
vf-0ba5d586	Automated Cross-Functional OTIF-Driven Fulfillment Tradeoff	Automated Cross-Functional OTIF-Driven Fulfillment Tradeoff	ADVANCE	83	100	8	92	Scenario is grounded, integration-aware, and implementation-ready.	Y
vf-3654664e	Automated Safety Stock Coordination Across Planning and Fulfillment	Automated Safety Stock Coordination Across Planning and Fulfillment	ADVANCE	83	100	8	92	Scenario is grounded, integration-aware, and implementation-ready.	Y
6f7498-9c5839	SKU Segmentation-Driven Cost Optimization	Review SKU Segmentation Rules	ADVANCE	83	100	8	92	Scenario is grounded, integration-aware, and implementation-ready.	N
0199b6-ee3e3d	Best Model & Algorithm Selection	Determine Best Model & Algorithm	ADVANCE	83	100	8	92	Scenario is grounded, integration-aware, and implementation-ready.	N
vf-072c847e	Automated Regional Demand Rebalancing	Automated Regional Demand Rebalancing	ADVANCE	83	100	8	92	Scenario is grounded, integration-aware, and implementation-ready.	Y
d8faf5-6edff6	Autonomous Revenue-Protection Optimization	Review Unfulfilled Demand	ADVANCE	80	100	10	91	Scenario is grounded, integration-aware, and implementation-ready.	N
cf-8723a10a	Integrated Demand-Driven Sourcing	Integrated Demand-Driven Sourcing	ADVANCE	80	100	10	91	Scenario is grounded, integration-aware, and implementation-ready.	Y
vf-d711e034	Automated Demand-Promising Coordination	Automated Demand-Promising Coordination	ADVANCE	80	100	10	91	Scenario is grounded, integration-aware, and implementation-ready.	Y
f0d9d8-868ab6	Total Cost Breakdown for Sourcing	Assess Sourcing Opportunity	ADVANCE	83	95	16	90	Scenario is grounded, integration-aware, and implementation-ready.	N
2a146e-f4db13	Deterministic Supplier Selection for Spot Buy	Select Supplier	ADVANCE	83	94	17	89	Scenario is grounded, integration-aware, and implementation-ready.	N
7ebb9b-62c651	Ml Forecast Model – Market Inputs	Gather Market Inputs	ADVANCE	83	94	17	89	Scenario is grounded, integration-aware, and implementation-ready.	N
cf-999807ae	Synchronized ATP/CTP with Supplier Readiness	Synchronized ATP/CTP with Supplier Readiness	ADVANCE	75	100	13	89	Scenario is grounded, integration-aware, and implementation-ready.	Y
89ff8b-735609	Import/Export Valuation Automation	Manage Product Import/Export Valuation	ADVANCE	80	96	16	89	Scenario is grounded, integration-aware, and implementation-ready.	N
a0259e-162636	Purchase Order Automation Orchestration	Create Purchase Order	ADVANCE	80	95	18	88	Scenario is grounded, integration-aware, and implementation-ready.	N
b60144-9520da	Autonomous Goods Receiving Orchestrator	Physically Receive And Inspect Goods Or Services	ADVANCE	71	97	19	85	Scenario is grounded, integration-aware, and implementation-ready.	N
18d2bf-8b7b29	Automated Supply Scenario Optimization	Determine And Simulate Scenarios	ADVANCE	67	100	17	85	Scenario is grounded, integration-aware, and implementation-ready.	N
37a91e-b7c2da	Automated Receipt-Validation for Payables	Create Receipt of Goods Or Services	ADVANCE	67	100	17	85	Scenario is grounded, integration-aware, and implementation-ready.	N
a34ce3-b47247	Automated Critical Material Data Balancing	Maintain Critical Material Data	ADVANCE	67	100	17	85	Scenario is grounded, integration-aware, and implementation-ready.	N
0f137d-f150b0	Feature Engineering & Process Tuning	Determine New Features and Update Process	ADVANCE	71	95	22	84	Scenario is grounded, integration-aware, and implementation-ready.	N
08680c-47bda5	Global Trade Master Data Automation	Set Up & Manage Global Trade Master Data	ADVANCE	57	94	30	78	Scenario is grounded, integration-aware, and implementation-ready.	N
