rank	l4_id	l4_name	l3_name	l2_name	l1_name	financial_signal	ai_suitability	decision_density	impact_order	rating_confidence	archetype_completeness	composite	survived	elimination_reason	red_flags	skill_count	aggregated_max_value
53	cf-toc-a8d84582	Demand-to-Procure Alignment Loop	Cross-Functional: Demand + Procurement + Finance	Toc	Cross-Functional	1.0000	1.0000	0.5000	1.0000	1.0000	0.1429	0.7286	N			1	5000000
54	0d38c72cc18f	Conduct Spot Buy Event	Execute Spot Buy	Order to "Ok To Pay"	Source & Procure	0.5000	1.0000	0.6750	0.2500	1.0000	0.8571	0.7064	N			1	17703000
55	34c5baf4cd81	Prepare Spot Buy Event	Execute Spot Buy	Order to "Ok To Pay"	Source & Procure	0.5000	1.0000	0.6500	0.2500	1.0000	0.8571	0.7014	N			1	3762000
56	5dd741b52747	Demand Planning for Source & Procure	Demand Planning for Source & Procure	Demand Planning for Source & Procure	Source & Procure	0.5000	0.5000	0.6250	1.0000	1.0000	0.8571	0.6964	N			1	2000000
57	895a4ce55f73	Assess Footprint	Manage Supplier Diversity & Inclusion Strategy	Responsibility, Sustainability & Supplier Diversity	Source & Procure	0.5000	0.5000	0.6750	0.2500	1.0000	1.0000	0.6600	N			1	3762000
58	10d68fcb6032	Plan & Execute Special Procedures	Manage Import / Export	Global Trade Management	Fulfill	0.5000	0.5000	0.6750	0.2500	1.0000	1.0000	0.6600	N			1	2000000
59	029b758f1a0a	Release Tactical Materials Plan	Conduct Tactical Materials Planning	Tactical Supply Planning	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
60	035bf0c36b6d	Finalise Consensus Forecast	Plan And Monitor Demand Scenario	Demand Planning	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
61	0679687c89d5	Develop Sourcing Profile	Develop Sourcing Profile & Strategy	Sourcing	Source & Procure	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
62	0722b6551c78	Develop Strategic Category Plan	Develop Category Strategy Plan	Logistics Service Provider (LSP) Selection and Management	Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
63	0e7c44e7274d	Bonded / Customs Warehouse Declarations	Execute Customs Clearance	Global Trade Management	Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
64	129b4a90be6b	Influence Demand Specifications	Manage Continuous Improvement of Demand	Demand Planning for Source & Procure	Source & Procure	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
65	1385d47d51a9	Generate Constrained Demand Plan	Prepare and Conduct Supply Review	Sales & Operations Planning	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
66	14928dc5884a	Define Network Improvement Hypothesis	Develop Network Strategy	Fulfilment Strategy	Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
67	18cec14f185d	Anticipate On Stock Fluctuations	Define Order Allocations Rules	Order Management	Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
68	18e0d63555ce	Enter Order	Capture Order	Order Management	Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
69	1989e8fd3443	Assess Supply Uncertainties	Monitor Supply Chain Segmentation	Supply Strategy & Analytics	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
70	1a89fcbb3486	Manage Drivers	Manage Fleets	Transportation Management	Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
71	1c4b6a79a32c	Manage Workload Capacity	Plan Labour and Workforce Scheduling	Warehouse Management	Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
72	26f1a1a9cf86	Execute Replenishment	Manage Storage Capacity & Inventory	Warehouse Management	Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
73	2703a665a86e	Pick Order	Execute Pick and Pack	Warehouse Management	Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
74	273428d51b97	Process for Payment	Perform Invoice Processing & Payment	Order to "Ok To Pay"	Source & Procure	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
75	2de6cd1f428b	Allocate Inventory	Establish Wave Plan	Warehouse Management	Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
76	2f16ec8dcad0	Model Network Optimization Scenarios	Develop Network Strategy	Fulfilment Strategy	Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
77	30712d5c8a4c	Define Global Mapping of Categories To Buying Channel	Define Buying Channels	Category Management	Source & Procure	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
78	307de0c3b85d	Verify Resource Availability	Conduct Co-Manufacturing Planning	Tactical Supply Planning	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
79	37316ad8655c	Define Impact In Costs, Lead Time And Service Levels	Develop Network Strategy	Fulfilment Strategy	Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
80	376ec26f87da	Develop & Negotiate Agreement	Execute Sourcing	Sourcing	Source & Procure	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
81	3a2f1723149e	Prepare Production Plan	Prepare and Conduct Supply Review	Sales & Operations Planning	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
82	41e05b7a8a55	Split / Combine Inventory	Manage Storage Capacity & Inventory	Warehouse Management	Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
83	4229aea3f934	Review Supply Shortage	Create Response Plan and Co-Ordinate	Sales & Operations Execution	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
84	439c75b2c83c	Develop And Maintain Cost-To-Serve Tool	Embed Cost-To-Serve Capability	Performance Management	Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
85	4b377fd57b34	Estimate Impact of Activities	Forecast Enrichment	Demand Planning	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
86	4d0875693e4e	Enable Contracts	Enable Buying Channels	Business Intake	Source & Procure	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
87	4d4d0a894dc5	Perform Root-Cause Analysis	Measure And Manage Demand Performance & Improvement	Forecast Analytics	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
88	4ed78f25256f	Create Demand Plan	Identify and Implement Demand Initiatives	Demand Planning for Source & Procure	Source & Procure	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
89	4f12e9233303	Execute Governance & Infrastructure	Execute Governance & Infrastructure	Execute Governance & Infrastructure	Source & Procure	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
90	507f791521e1	Identify Products Strategy	Define Steering Model	Supply Strategy & Analytics	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
91	51860aa5713e	Identify Tail Spend Opportunities	Define Tail Spend Mgmt. Strategy	Category Management	Source & Procure	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
92	55f6c60ca97a	Determine the Targets	Define Steering Model	Supply Strategy & Analytics	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
93	57099b33244a	Manage Invoice Processing And Exception Handling	Perform Invoice Processing & Payment	Order to "Ok To Pay"	Source & Procure	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
94	5b73107c5849	Track Semi Finished Goods	Manage Production Scheduling	Operational Supply Planning	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
95	606a4d9dbafc	Analyse Sequencing	Intigrate And Optimize Production Parameter	Supply Strategy & Analytics	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
96	6263093cc167	Execute Inventory Count/ Cycle Counting	Manage Storage Capacity & Inventory	Warehouse Management	Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
97	62e219e79171	Manage Truck Arrival/Departures	Manage Yards	Warehouse Management	Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
98	66684cf31057	Collect Forecast	Manage Supply Network	Supply Strategy & Analytics	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
99	66faab3f91ca	Develop Prescriptive Insights Approach	Define Data & Analytics Strategy	Insight & Analytics	Source & Procure	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
100	70cbbd024644	Develop Sourcing Strategy	Develop Sourcing Profile & Strategy	Sourcing	Source & Procure	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
101	76bcf008aada	Baseline Demand Practices	Identify and Implement Demand Initiatives	Demand Planning for Source & Procure	Source & Procure	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
102	79fbc1805db7	Prepare for Customs Inspection	Execute Customs Clearance	Global Trade Management	Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
103	7af19b04e0d7	Align Supply & Invetory Plans	Prepare and Conduct Supply Review	Sales & Operations Planning	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
104	7fc18600a3f0	Update Supply Parameters	Manage Supply Network	Supply Strategy & Analytics	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
105	804ca6163488	Finalize Forecast Parameters	Define Statistical Forecast Model	Forecast Analytics	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
106	8483a6e27d17	Confirm Order	Capture Order	Order Management	Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
107	857ffdb49a39	Review Incoming Data	Define Ml Forecast Model	Forecast Analytics	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
108	858c590afc3a	Develop And Maintain Service Catalogue	Define Segmentation Strategy	Fulfilment Strategy	Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
109	876cc3722d18	Execute & Manage Relationships	Manage Supplier Relationships	Supplier Management	Source & Procure	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
110	8838eddae0f1	Calculate Landed Cost	Manage Import / Export	Global Trade Management	Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
111	88cc226a871f	Review Constrained Capacity	Manage Production and Capacity Planning	Tactical Supply Planning	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
112	8ae40aa931f1	Drive Special Programs	Manage Trade Compliance	Global Trade Management	Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
113	8d1eec65fdaf	Resolve Contract Issues	Manage Contract Lifecycle	Contract Management	Source & Procure	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
114	95a5014b43ef	Develop Evaluation Criteria	Develop Sourcing Profile & Strategy	Sourcing	Source & Procure	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
115	98d84cd1af95	Run Scenario Simulations	Plan And Monitor Demand Scenario	Demand Planning	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
116	9969175db698	Determine Demand Scenarios	Plan And Monitor Demand Scenario	Demand Planning	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
117	9aaa213cd80b	Update/Modify Order	Process Orders	Order Management	Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
118	9b0bb5176d55	Execute Picking & Loading Consolidation	Execute Pick and Pack	Warehouse Management	Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
119	9db673bc0f46	Monitor Service Execution	Administer Third-Party Services	Contract Management	Source & Procure	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
120	9eb668272493	Release the Adjusted Demand To Supply	Match Short Term Demand-Supply	Sales & Operations Execution	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
121	a0e87cf46d16	Develop & Negotiate Agreement	Execute Tactical Sourcing	Sourcing	Source & Procure	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
122	a2abd03c6c66	Standardize Activities Catalogue	Manage Demand Driver Data	Demand Planning	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
123	a6c5b10e3acc	Execute & Manage Mitigation Actions & Initiatives	Manage Risks	Risk & Resiliency	Source & Procure	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
124	a702f11490ed	Identify Tactical Sourcing Suppliers	Execute Tactical Sourcing	Sourcing	Source & Procure	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
125	a8aa6bfc706f	Manage Supplier Collaboration & Development Initiatives	Develop And Collaborate With Suppliers	Supplier Management	Source & Procure	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
126	aae5f7e0ccf0	Execute Sourcing Approach	Source LSP	Logistics Service Provider (LSP) Selection and Management	Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
127	ab3cfd8f8d4c	Derive Fulfilment Strategy From Sc Strategy And Business Strategy	Develop Strategy and Target Setting	Fulfilment Strategy	Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
128	ac4e1865c138	Generate Dependent Demand	Conduct Tactical Materials Planning	Tactical Supply Planning	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
129	af509eaf441c	Administer Contract	Manage Contract Lifecycle	Contract Management	Source & Procure	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
130	b200d3dc367b	Plan Outbound Wave	Establish Wave Plan	Warehouse Management	Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
131	b6afe848d180	Confirm New Sales Order	Create Response Plan and Co-Ordinate	Sales & Operations Execution	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
132	b8f0008685e6	Manage Production Capacity	Perform Root-Cause and What-If Analysis	Sales & Operations Execution	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
133	b93d7c0429ab	Identify Demand And Supply Mismatch	Prepare and Conduct Pre-S&Op	Sales & Operations Planning	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
134	ba3a91b5b037	Define & Update Automation & Ai Enablement Strategy	Define Digital Strategy	Define Functional Strategy	Source & Procure	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
135	c04c98aa4631	Gather Current Performance Data	Intigrate And Optimize Production Parameter	Supply Strategy & Analytics	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
136	c5d5be83d12e	Discuss And Update Plan	Manage Customer Collaborative Planning	Demand Planning	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
137	c76df8e92d23	Perform Negotiations & Develop Contract	Source LSP	Logistics Service Provider (LSP) Selection and Management	Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
138	cdf0ec21fbd9	Analyse Performance & Identify New Value Levers	Identify & Execute Improvement Programs	Performance Management	Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
139	cfd5bad109e6	Review PIPO & NPI Forecast	Forecast Enrichment	Demand Planning	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
140	d4f20a32437d	Co-Manufacturer Plan Release	Conduct Co-Manufacturing Planning	Tactical Supply Planning	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
141	d8c5d533cf2b	Enable Mrp	Enable Buying Channels	Business Intake	Source & Procure	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
142	dee72ec190c9	Manage Customs Broker	Execute Customs Clearance	Global Trade Management	Fulfill	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
143	e5066bfeefad	Optimize Network	Manage Supply Network	Supply Strategy & Analytics	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
144	e55ac08c312f	Estimate Customer Sales Forecast	Manage Customer Collaborative Planning	Demand Planning	Plan	1.0000	1.0000	0.5000	1.0000	0.6000	0.0000	0.6600	N			0	0
