tier	l3_name	opportunity_name	l1_name	l2_name	lead_archetype	quick_win	combined_max_value	flag_count	flags
1	Indirect Category Management & Stakeholder Engagement	Autonomous Indirect Spend Governance & Stakeholder Alignment Engine	Procure Source & Buy	Indirect Procurement	DETERMINISTIC	Y	9100000	0	
1	Inbound Receiving & Putaway	Autonomous Inbound Receiving & Putaway Optimizer	Move & Fulfill	Warehouse & Distribution Center Operations	DETERMINISTIC	Y	9000000	0	
1	Paint Material Management	Autonomous Paint Material Management & Demand-Driven Mixing Optimization	Make	Paint Operations	DETERMINISTIC	Y	8700000	0	
1	Packaging Inventory Management	Autonomous Packaging Inventory Optimization Engine	Move & Fulfill	Packaging & Returnable Container Management	DETERMINISTIC	Y	8600000	0	
1	Process Validation & Simulation	Autonomous Process Validation & Simulation Engine	Make	Manufacturing Engineering & Process Design	DETERMINISTIC	Y	8000000	0	
1	Compliance	Autonomous Ethics & Compliance Automation for Automotive Compliance	Procure Source & Buy	Procurement Operations & Compliance	DETERMINISTIC	Y	6000000	1	ORPHAN
1	Sustainability & Circularity Planning	Autonomous Sustainability & Circularity Optimizer for Automotive Supply Chain	Plan	Supply Network Design & Planning	DETERMINISTIC	Y	5900000	0	
1	Outbound Shipping & Loading	Autonomous Outbound Shipping Orchestrator for Vehicle Platforms	Move & Fulfill	Warehouse & Distribution Center Operations	DETERMINISTIC	Y	5700000	0	
2	Cost & Value Optimization Initiatives	Integrated COGS Optimization Engine for Automotive Value/COST Reduction	Procure Source & Buy	Commodity Management & Market Intelligence	DETERMINISTIC	N	1840000000	0	
2	Multi-Echelon Inventory Optimization	Autonomous Multi-Echelon Inventory Optimization Engine	Plan	Inventory Planning & Optimization	DETERMINISTIC	N	130000000	0	
2	Production Schedule Execution & Monitoring	Adaptive, End-to-End Production Scheduling Engine for Automotive Platforms	Plan	Production Planning & Scheduling	DETERMINISTIC	N	100000000	0	
2	Stamping Supplier & Outsource Management	Autonomous Stamping Supply & Production Orchestration for Tier-1 Outsourced Stamping	Make	Stamping Operations	AGENTIC	N	52000000	0	
2	Compliance & Risk Management	Autonomous Compliance & Risk Orchestration Engine	Move & Fulfill	Outbound Vehicle Logistics & Distribution	AGENTIC	N	52000000	0	
2	Production Planning & Control	Autonomous Production Planning & Replenishment Engine	Make	Powertrain Manufacturing (Engine & Transmission)	DETERMINISTIC	N	43000000	0	
2	New Product Introduction & Lifecycle Planning	Autonomous NPI Lifecycle Orchestration & Obsolescence-Aware IBP	Plan	Integrated Business Planning (IBP)	AGENTIC	N	42000000	0	
2	Manufacturing Anomaly & Issue Resolution	End-to-End Anomaly Resolution Engine for Manufacturing	Make	Powertrain Manufacturing (Engine & Transmission)	AGENTIC	N	42000000	0	
2	Request for Quote (RFQ) & Bid Management	Autonomous RFQ & Bid Optimization Engine	Procure Source & Buy	Strategic Sourcing & Supplier Selection	DETERMINISTIC	N	42000000	0	
2	Order Fulfillment Exception & Escalation Management	Autonomous Fulfillment Exception Orchestrator (AFEO)	Move & Fulfill	Order Management & Fulfillment	AGENTIC	N	42000000	1	CONFIDENCE_GAP
2	Production Quality Control & Assurance	Autonomous Production Quality & Throughput Engine	Make	Production Support Services	DETERMINISTIC	N	39000000	0	
2	Carrier Performance & Relationship Management	Autonomous Carrier Selection & Performance Optimization Engine	Move & Fulfill	Outbound Vehicle Logistics & Distribution	AGENTIC	N	39000000	0	
2	Supplier Identification & Pre-Qualification	Autonomous Supplier Qualification & Onboarding Engine	Procure Source & Buy	Strategic Sourcing & Supplier Selection	AGENTIC	N	35700000	0	
2	New Supplier Quality Assessment & Selection	Autonomous Supplier Quality Assessment & Selection Engine	Procure Source & Buy	Supplier Quality Management	DETERMINISTIC	N	35000000	0	
2	PO Performance Analysis & Continuous Improvement	Autonomous PO Performance Optimization Engine	Procure Source & Buy	Purchase Order Management & Execution	DETERMINISTIC	N	32000000	0	
2	Indirect Supplier Qualification & Selection	Autonomous Indirect Supplier Qualification & Selection Engine	Procure Source & Buy	Indirect Procurement	DETERMINISTIC	N	32000000	0	
2	Service Parts Inventory & Distribution	Autonomous Service Parts Inventory & Fulfillment Orchestrator	Service	Ford Pro Fleet Service & Upfit Operations	AGENTIC	N	32000000	0	
2	Battery Pack Assembly	Autonomous Battery Pack Assembly Orchestration Engine	Make	Electric Vehicle Battery & Drive Unit Production	DETERMINISTIC	N	31000000	0	
2	Order Fulfillment & Picking	Autonomous End-to-End Order Fulfillment & Dynamic Picking Engine	Move & Fulfill	Warehouse & Distribution Center Operations	DETERMINISTIC	N	30000000	0	
2	Returnable Container Fleet Management	Autonomous Returnable Container Fleet Optimization Engine	Move & Fulfill	Packaging & Returnable Container Management	DETERMINISTIC	N	29000000	1	CONFIDENCE_GAP
2	Inbound Transportation Execution & Monitoring	Autonomous Inbound Transportation Orchestrator for CPG-Grade Auto Supply Network	Move & Fulfill	Inbound Logistics & Material Flow	AGENTIC	N	28000000	0	
2	Production Planning & Execution Control	End-to-End Production Planning & Dynamic Execution Optimization	Make	Trim Chassis & Final Assembly	DETERMINISTIC	N	27000000	0	
2	Global Market & Economic Intelligence	Autonomous Global Market Intelligence Engine for COGS & Availability Continual Alignment	Procure Source & Buy	Commodity Management & Market Intelligence	DETERMINISTIC	N	24000000	0	
2	Connected Services & Aftermarket Order Integration	Autonomous Aftermarket Order Orchestration & Spare Parts Replenishment Engine	Move & Fulfill	Order Management & Fulfillment	AGENTIC	N	24000000	0	
2	Inventory Positioning & Optimization	Autonomous Multi-Echelon Inventory Positioning Engine for Automotive	Move & Fulfill	Logistics Network Optimization	DETERMINISTIC	N	24000000	0	
2	Production Planning & Scheduling (Stamping)	Autonomous Stamping Production & Capacity Synchronization Engine	Make	Stamping Operations	AGENTIC	N	22100000	0	
2	Demand Forecasting & Analysis	Autonomous Demand-Driven Volume & Mix Orchestration Engine	Plan	Production Planning & Scheduling	DETERMINISTIC	N	21000000	0	
2	Material Flow & Inventory Planning for Launch	Autonomous Launch Material Flow & Shortage Recovery Engine	Plan	New Product Launch Planning	DETERMINISTIC	N	21000000	0	
2	Supply Base Risk & Resilience Management	Autonomous Supply Base Risk & Resilience Engine (ASBRE) across multi-echelon network	Procure Source & Buy	Commodity Management & Market Intelligence	AGENTIC	N	21000000	0	
2	Supplier Quality Assurance & Improvement	Autonomous Supplier Quality Excellence Engine	Procure Source & Buy	Supplier Development & Capability Building	AGENTIC	N	21000000	0	
2	Supplier Relationship Management (Operational & Strategic)	Autonomous Supplier Relationship Orchestration Engine	Procure Source & Buy	Procurement Operations & Compliance	AGENTIC	N	21000000	0	
2	Inbound Logistics Exception Management	Autonomous Inbound Logistics Exception Management Engine	Move & Fulfill	Inbound Logistics & Material Flow	AGENTIC	N	21000000	0	
2	Service Parts Network Design & Operations	Autonomous Service Parts Network Optimization & End-to-End Fulfillment Engine	Service	Service Parts Planning & Management	DETERMINISTIC	N	21000000	0	
2	Capacity Scenario Modeling & Simulation	Integrated Capacity Scenario Engine for Automotive Capacity Levers	Plan	Capacity Planning & Constraint Management	DETERMINISTIC	N	19000000	0	
2	Supplier Launch Readiness Management	Autonomous Supplier Launch Readiness Engine for Automotive Launch Programs	Plan	New Product Launch Planning	DETERMINISTIC	N	19000000	0	
2	Commodity Data Analytics & Reporting	Autonomous Commodity Data Intelligence and Risk-Adjusted Spend Control	Procure Source & Buy	Commodity Management & Market Intelligence	DETERMINISTIC	N	19000000	0	
2	Vehicle & Part Order Allocation	Autonomous Vehicle & Part Allocation Engine (AVPAE)	Move & Fulfill	Order Management & Fulfillment	DETERMINISTIC	N	19000000	0	
2	Launch Risk & Issue Management	Autonomous Launch Risk & Issue Orchestration Engine	Plan	New Product Launch Planning	AGENTIC	N	18000000	0	
2	Service Parts Order Management	Autonomous Service Parts Order Management Engine	Move & Fulfill	Service Parts Logistics & Distribution	AGENTIC	N	17000000	0	
2	Returns & Reverse Logistics Management	Autonomous Reverse Logistics Orchestration for Ford	Move & Fulfill	Warehouse & Distribution Center Operations	AGENTIC	N	17000000	1	CONFIDENCE_GAP
2	Service Parts Warehouse & Distribution Center Operations	Autonomous Service Parts Warehouse Optimization Engine	Move & Fulfill	Service Parts Logistics & Distribution	AGENTIC	N	15600000	0	
2	Line-side Material Delivery	Autonomous Line-Side Material Delivery Engine	Move & Fulfill	Inbound Logistics & Material Flow	DETERMINISTIC	N	15500000	0	
2	New Product Introduction (NPI) Production Planning	Autonomous NPI Production Planning Engine for Ford	Plan	Production Planning & Scheduling	DETERMINISTIC	N	15000000	0	
2	Transportation Planning & Scheduling	Autonomous End-to-End Transportation Orchestration & Inventory-Delivery Synchronization	Move & Fulfill	Outbound Vehicle Logistics & Distribution	DETERMINISTIC	N	14000000	0	
2	Customer Request & Incident Management	Autonomous Incident Triage & Resolution Engine	Service	Roadside Assistance & Emergency Services	AGENTIC	N	14000000	0	
2	Constraint Identification & Resolution	Autonomous Constraint Orchestration Engine (ACOE) for Automotive Supply Chain	Plan	Sales & Operations Planning (S&OP)	AGENTIC	N	13000000	0	
2	Supplier Interface & Performance Management	 Autonomous Supplier Performance & VMI Orchestrator	Make	Trim Chassis & Final Assembly	AGENTIC	N	12900000	0	
2	Supplier Collaboration for Inventory Optimization	Autonomous Collaborative Inventory Optimization Engine (ACIOE)	Plan	Inventory Planning & Optimization	AGENTIC	N	12000000	0	
2	Battery Module Assembly	Autonomous Battery Module Assembly Orchestration & Scheduling Engine	Make	Electric Vehicle Battery & Drive Unit Production	DETERMINISTIC	N	9800000	0	
2	Transportation Strategy & Mode Optimization	Autonomous Multimodal Transportation & Carrier Optimization Engine	Move & Fulfill	Logistics Network Optimization	DETERMINISTIC	N	9000000	0	
2	Customer Order Modification & Cancellation	 Autonomous Order Modification & Cancellation Engine	Move & Fulfill	Order Management & Fulfillment	DETERMINISTIC	N	8000000	0	
2	Operator & Automated Quality Inspections	Autonomous End-to-End Quality Inspection & Certification Engine	Make	Quality Control & In-Process Inspection	AGENTIC	N	7800000	0	
2	Emergency & Critical Parts Fulfillment	Autonomous Critical Parts Fulfillment Engine (AC-PFE)	Move & Fulfill	Service Parts Logistics & Distribution	AGENTIC	N	4000000	0	
2	Warehouse & Distribution Center Network Management	Autonomous DC Network Optimization & Service Parts Fulfillment Engine	Move & Fulfill	Logistics Network Optimization	DETERMINISTIC	Y	3500000	0	
2	Goods Receipt, Invoice Verification & Resolution	Autonomous AP Matching & Discrepancy Resolution Engine	Procure Source & Buy	Purchase Order Management & Execution	DETERMINISTIC	Y	2740000	0	
2	Service Parts Demand Forecasting	Autonomous Service Parts Demand Orchestrator for Ford	Plan	Demand Forecasting & Sensing	DETERMINISTIC	Y	0	0	
2	Aggregate Supply Planning & Capacity	End-to-End Aggregate Supply Planning & Capacity Engine	Plan	Sales & Operations Planning (S&OP)	DETERMINISTIC	N	0	0	
2	Inventory & Material Flow Strategy	Autonomous Multi-Echelon Inventory & Build Strategy Engine	Plan	Sales & Operations Planning (S&OP)	DETERMINISTIC	N	0	0	
2	Financial Integration & Profitability Analysis	Integrated Profitability Optimization Engine for Automotive Value Chain	Plan	Sales & Operations Planning (S&OP)	DETERMINISTIC	N	0	0	
2	Master Production Scheduling (MPS)	Autonomous Multi-Scroll MPS Engine for COGS Optimization	Plan	Production Planning & Scheduling	DETERMINISTIC	N	0	0	
2	Material Requirements Planning (MRP) Integration	Autonomous MRP-Driven Production & Supply Alignment Engine	Plan	Production Planning & Scheduling	DETERMINISTIC	N	0	0	
2	New Product Introduction (NPI) Capacity Assessment	Autonomous NPI Capacity Assurance Engine	Plan	Capacity Planning & Constraint Management	DETERMINISTIC	N	0	0	
2	Service Parts Inventory Management	Autonomous Service Parts Inventory Orchestrator	Plan	Inventory Planning & Optimization	DETERMINISTIC	N	0	0	
2	Inventory Risk & Obsolescence Management	Autonomous Inventory Risk & Obsolescence Optimization for Automotive Supply Network	Plan	Inventory Planning & Optimization	DETERMINISTIC	N	0	0	
2	Internal Manufacturing Launch Readiness	Autonomous Launch Readiness Orchestration Engine	Plan	New Product Launch Planning	AGENTIC	N	0	0	
2	Supply Planning & Production Scheduling	Autonomous Global Supply & Production Orchestration for Automotive Platform Value	Plan	Integrated Business Planning (IBP)	DETERMINISTIC	N	0	0	
2	Production Planning & Sequencing Integration	Autonomous Production Planning & Sequencing Engine for Vehicle Platforms	Make	Body Shop & Welding	DETERMINISTIC	N	0	0	
2	Material Flow & In-Plant Logistics	Autonomous In-Plant Material Flow & Replenishment Engine	Make	Trim Chassis & Final Assembly	DETERMINISTIC	Y	0	0	
2	New Model Launch & Production Readiness	Autonomous New Model Launch Orchestration Engine	Make	Trim Chassis & Final Assembly	DETERMINISTIC	N	0	0	
2	Maintenance & Asset Management	Autonomous Maintenance & Spare Parts Optimization Engine	Make	Trim Chassis & Final Assembly	AGENTIC	N	0	0	
2	Powertrain Assembly & Sub-Assembly	Autonomous Powertrain Production Orchestration Engine	Make	Powertrain Manufacturing (Engine & Transmission)	AGENTIC	N	0	0	
2	Supplier In-Plant Quality & Performance Management	Autonomous Supplier In-Plant Quality & Performance Engine	Make	Powertrain Manufacturing (Engine & Transmission)	AGENTIC	N	0	0	
2	Production Planning & Material Flow Management	Autonomous End-to-End Production & Material Flow Optimizer	Make	Electric Vehicle Battery & Drive Unit Production	DETERMINISTIC	N	0	0	
2	Manufacturing System Integration & Layout Design	Autonomous Manufacturing System Integration & Layout Optimization	Make	Manufacturing Engineering & Process Design	DETERMINISTIC	N	0	0	
2	Industrial Engineering & Efficiency	Autonomous Industrial Engineering Engine for COGS, Throughput, and Through-Life Efficiency	Make	Production Support Services	DETERMINISTIC	N	0	0	
2	Sourcing Strategy & Category Management	Autonomous Sourcing Strategy Orchestrator	Procure Source & Buy	Strategic Sourcing & Supplier Selection	AGENTIC	N	0	0	
2	Supplier Capacity & Business Continuity Planning	Autonomous Supplier Capacity & Continuity Optimizer	Procure Source & Buy	Supplier Relationship Management	AGENTIC	N	0	0	
2	Field Quality & Warranty Performance Management	Autonomous Field Quality & Warranty Optimization Engine	Procure Source & Buy	Supplier Quality Management	AGENTIC	N	0	0	
2	Purchase Order Creation & Issuance	Autonomous PO Creation & Issuance Engine for Automotive MRO and Capital Equipment	Procure Source & Buy	Purchase Order Management & Execution	AGENTIC	N	0	0	
2	PO Lifecycle Tracking & Monitoring	Autonomous PO Lifecycle Orchestration for Working Capital & COGS Optimization	Procure Source & Buy	Purchase Order Management & Execution	AGENTIC	N	0	0	
2	Exception & Dispute Management	Autonomous Exception & Dispute Orchestrator for Automotive Supply Chain	Procure Source & Buy	Purchase Order Management & Execution	AGENTIC	N	0	0	
2	Supplier Financial Viability Assessment	Autonomous Supplier Financial Risk & Terms Optimization Engine	Procure Source & Buy	Contract & Commercial Management	AGENTIC	N	0	0	
2	Supplier Performance & Relationship Management (Strategic)	Autonomous Strategic Supplier Performance & Continuity Engine	Procure Source & Buy	Commodity Management & Market Intelligence	AGENTIC	N	0	0	
2	Strategic Sourcing Incident Management	Autonomous Strategic Sourcing Incident Engine for Automotive Supply Disruptions	Procure Source & Buy	Commodity Management & Market Intelligence	AGENTIC	N	0	0	
2	Supplier Qualification & Onboarding	Autonomous Supplier Qualification & Onboarding Orchestrator for Automotive Supply Chain	Procure Source & Buy	Supplier Development & Capability Building	DETERMINISTIC	N	0	0	
2	Supply Base Strategy & Optimization	Autonomous Global Supply Base Optimization Engine	Procure Source & Buy	Supplier Development & Capability Building	AGENTIC	N	0	0	
2	Purchase Order (PO) Management	Autonomous PO Lifecycle Orchestrator for Automotive PO Management	Procure Source & Buy	Procurement Operations & Compliance	AGENTIC	N	0	0	
2	Inbound Logistics Network Design & Optimization	Autonomous Inbound Logistics Optimization Engine	Move & Fulfill	Inbound Logistics & Material Flow	DETERMINISTIC	N	0	0	
2	Outbound Logistics Network Strategy & Optimization	Autonomous Outbound Logistics Network Optimization & Disruption-Resilient Routing	Move & Fulfill	Outbound Vehicle Logistics & Distribution	DETERMINISTIC	N	0	0	
2	Service Parts Inbound Logistics	Autonomous Inbound Parts Orchestration for Service Parts	Move & Fulfill	Service Parts Logistics & Distribution	DETERMINISTIC	N	0	0	
2	Service Parts Outbound Logistics & Transportation	Autonomous Service Parts Outbound Logistics Optimization Engine	Move & Fulfill	Service Parts Logistics & Distribution	DETERMINISTIC	N	0	0	
2	Service Parts Inventory Planning & Replenishment	Autonomous Service Parts Inventory Replenishment Engine	Move & Fulfill	Service Parts Logistics & Distribution	DETERMINISTIC	N	0	0	
2	Service Parts Logistics Operations	Autonomous Service Parts Logistics Orchestration (ASPO) Engine	Move & Fulfill	Transportation Management & Carrier Operations	DETERMINISTIC	N	0	0	
2	Dealer Order Management & Support	Autonomous Dealer Order Optimization & Fulfillment Engine	Move & Fulfill	Order Management & Fulfillment	DETERMINISTIC	N	0	0	
2	Returnable Container Logistics & Tracking	Autonomous Returnable Container Orchestration Engine	Move & Fulfill	Packaging & Returnable Container Management	AGENTIC	N	0	0	
2	Packaging Supplier & 3PL Management	Autonomous Packaging & 3PL Sourcing & Compliance Engine	Move & Fulfill	Packaging & Returnable Container Management	DETERMINISTIC	N	0	0	
2	Field Service Engineering Support	Autonomous Field Service Excellence Engine	Service	Dealer Technical Support & Service Engineering	DETERMINISTIC	Y	0	1	CONFIDENCE_GAP
2	Product Quality & Reliability Feedback Loop	Autonomous Quality Feedback & Change Lifecycle Engine	Service	Dealer Technical Support & Service Engineering	AGENTIC	N	0	0	
2	Service Parts Demand Forecasting	Autonomous Service Parts Demand Orchestrator for Ford	Service	Service Parts Planning & Management	DETERMINISTIC	N	0	0	
2	Service Parts Supply Planning & Procurement	Autonomous Service Parts Supply & Procurement Orchestrator	Service	Service Parts Planning & Management	DETERMINISTIC	N	0	0	
2	Service Parts Lifecycle Management (NPI to Obsolescence)	Autonomous Service Parts Lifecycle Optimizer (ASPOL)	Service	Service Parts Planning & Management	DETERMINISTIC	N	0	0	
2	Service Parts Supplier Relationship Management	Autonomous Service Parts Supplier Relationship Orchestrator	Service	Service Parts Planning & Management	DETERMINISTIC	N	0	0	
2	Unscheduled Repair & Recall Execution	Autonomous Unscheduled Repair & Recall Orchestration Engine	Service	Ford Pro Fleet Service & Upfit Operations	AGENTIC	N	0	0	
3	Strategic Network Design & Optimization	Autonomous Strategic Network Optimization Engine for Global Footprint and M&A Alignment	Plan	Supply Network Design & Planning	DETERMINISTIC	N	1050000000	0	
3	Emergency & Escalation Management	Autonomous Emergency Orchestration Engine for Automotive Crises	Service	Recall & Field Service Action Management	AGENTIC	N	210000000	1	CONFIDENCE_GAP
3	OTA Software Deployment & Management	Autonomous OTA Deployment Orchestration for Vehicle Platform Stability	Service	Connected Vehicle Services & OTA Updates	AGENTIC	N	168000000	0	
3	Service Parts Regulatory Compliance & Quality Assurance	Autonomous Quality & Compliance Assurance Engine for Service Parts	Service	Service Parts Planning & Management	AGENTIC	N	120000000	0	
3	Logistics Technology & Data Management	Autonomous Multi-Echelon Logistics Orchestration Engine	Move & Fulfill	Transportation Management & Carrier Operations	DETERMINISTIC	N	82000000	0	
3	Sourcing Risk Management	Autonomous Sourcing Risk Management Engine for Automotive Supply	Procure Source & Buy	Strategic Sourcing & Supplier Selection	AGENTIC	N	78000000	0	
3	Supplier Defect Management & Recovery	Autonomous Supplier Defect Recovery & Cost Recovery Engine	Service	Recall & Field Service Action Management	AGENTIC	N	76000000	1	CONFIDENCE_GAP
3	Supplier Performance Management	Autonomous Supplier Performance Optimization Engine	Procure Source & Buy	Supplier Relationship Management	AGENTIC	N	70000000	0	
3	Internal Production Logistics & Material Handling	Autonomous Production Logistics Orchestration for Multi-Echelon COGS Reduction	Make	Production Support Services	DETERMINISTIC	N	68000000	0	
3	Digital & Connected Service Experience	Autonomous Connected Service Orchestration Engine	Service	Customer Experience & Service Quality	AGENTIC	N	65000000	1	CONFIDENCE_GAP
3	Paint Shop Maintenance & Reliability	Autonomous Paint Shop Maintenance & Spare Parts Optimization Platform	Make	Paint Operations	AGENTIC	N	54000000	0	
3	Commodity Strategy & Roadmap Development	Autonomous Commodity Strategy Orchestrator for End-to-End EBITDA Optimization	Procure Source & Buy	Commodity Management & Market Intelligence	AGENTIC	N	54000000	0	
3	Logistics Technology & Digitalization Strategy	Autonomous Logistics Orchestration & Multi-Echelon Inventory Nervous System	Move & Fulfill	Logistics Network Optimization	AGENTIC	N	54000000	0	
3	Integrated Financial & Operational Reconciliation	End-to-End Financial-Operational Reconciliation Engine	Plan	Integrated Business Planning (IBP)	DETERMINISTIC	N	52000000	1	CONFIDENCE_GAP
3	Press Operations & Production Execution	Autonomous Press-to-Post-Stamping Production Orchestrator	Make	Stamping Operations	AGENTIC	N	52000000	0	
3	Dealer & Customer Delivery Operations	Autonomous End-to-End Dealer & Customer Delivery Orchestration	Move & Fulfill	Outbound Vehicle Logistics & Distribution	DETERMINISTIC	N	52000000	0	
3	Warranty Policy & Program Development	Autonomous Warranty Policy & Program Optimization Engine	Service	Warranty Administration & Claims Management	DETERMINISTIC	N	43000000	0	
3	Data & Technology Management for S&OP	Autonomous S&OP Digital Backbone for Ford	Plan	Sales & Operations Planning (S&OP)	DETERMINISTIC	N	42000000	0	
3	Quality Control & Metrology	Autonomous Quality Control Orchestration & Rapid RCA Engine	Make	Body Shop & Welding	AGENTIC	N	42000000	0	
3	Topcoat Application	Autonomous Topcoat Application & Verification Optimization Engine	Make	Paint Operations	DETERMINISTIC	N	42000000	0	
3	Quality Control & Performance Testing	Autonomous Quality Control Orchestration for COGS & Working Capital	Make	Powertrain Manufacturing (Engine & Transmission)	DETERMINISTIC	N	42000000	0	
3	Transportation Compliance & Risk Management	Autonomous Transportation Compliance & Risk Engine	Move & Fulfill	Transportation Management & Carrier Operations	DETERMINISTIC	N	42000000	0	
3	Technical Service Information Management	Autonomous Service Information Lifecycle Optimization Engine	Service	Dealer Technical Support & Service Engineering	DETERMINISTIC	N	42000000	0	
3	Diagnostic Software & Firmware Management	Autonomous Diagnostic Software Lifecycle Optimization	Service	Dealer Technical Support & Service Engineering	AGENTIC	N	42000000	0	
3	Customer Experience & Technical Support for Connected Services	Autonomous Connected Services Experience Orchestrator	Service	Connected Vehicle Services & OTA Updates	AGENTIC	N	42000000	0	
3	Sales Channel & Marketing Management	Autonomous Direct-to-Channel Revenue Acceleration Engine	Service	Extended Service Plans & Maintenance Programs	DETERMINISTIC	N	42000000	0	
