l3_name	opportunity_name	l1_name	l2_name	archetype	data_readiness	platform_fit	archetype_conf	tech_total	decision_density	financial_gravity	impact_proximity	confidence_signal	adoption_total	value_density	simulation_viability	value_total	composite	confidence	promotes_to_sim
Service Parts Inventory & Distribution	Autonomous Service Parts Inventory & Fulfillment Orchestrator	Service	Ford Pro Fleet Service & Upfit Operations	AGENTIC	3	3	3	9	2	2	2	2	8	1	2	3	0.72	HIGH	Y
Financial Integration & Profitability Analysis	Integrated Profitability Optimization Engine for Automotive Value Chain	Plan	Sales & Operations Planning (S&OP)	DETERMINISTIC	3	2	3	8	3	3	3	3	12	0	0	0	0.72	HIGH	Y
Demand Planning & Forecasting	Autonomous Demand Planning Engine for Automotive Platform Lifecycles	Plan	Integrated Business Planning (IBP)	DETERMINISTIC	3	3	3	9	2	2	3	1	8	1	2	3	0.72	HIGH	Y
Vehicle & Part Order Allocation	Autonomous Vehicle & Part Allocation Engine (AVPAE)	Move & Fulfill	Order Management & Fulfillment	DETERMINISTIC	3	3	3	9	2	2	2	2	8	1	2	3	0.72	HIGH	Y
Goods Receipt, Invoice Verification & Resolution	Autonomous AP Matching & Discrepancy Resolution Engine	Procure Source & Buy	Purchase Order Management & Execution	DETERMINISTIC	3	3	3	9	2	2	2	2	8	1	2	3	0.72	HIGH	Y
Inventory & Material Flow Strategy	Autonomous Multi-Echelon Inventory & Build Strategy Engine	Plan	Sales & Operations Planning (S&OP)	DETERMINISTIC	3	3	3	9	3	3	3	2	11	0	0	0	0.71	HIGH	Y
Inventory & Working Capital Optimization	Autonomous Multi-Echelon Inventory & Working Capital Optimizer for Ford	Plan	Integrated Business Planning (IBP)	DETERMINISTIC	3	3	3	9	3	3	3	2	11	0	0	0	0.71	HIGH	Y
Service Parts Network Strategy & Optimization	Autonomous Service Parts Network & Transportation Optimization Engine	Move & Fulfill	Service Parts Logistics & Distribution	DETERMINISTIC	2	2	2	6	2	3	2	2	9	2	2	4	0.70	HIGH	Y
Supplier Acknowledgment & Communication	Autonomous Supplier Acknowledgment & PO Sync Orchestration	Procure Source & Buy	Purchase Order Management & Execution	DETERMINISTIC	2	2	2	6	3	3	2	2	10	1	2	3	0.70	HIGH	Y
Finished Goods Handling & Dispatch	Autonomous Finished Goods Handling & Dispatch Engine	Make	Electric Vehicle Battery & Drive Unit Production	DETERMINISTIC	2	2	2	6	3	2	3	2	10	1	2	3	0.70	HIGH	Y
Production Quality Control & Assurance	Autonomous Production Quality & Throughput Engine	Make	Production Support Services	DETERMINISTIC	2	2	2	6	2	3	3	2	10	1	2	3	0.70	HIGH	Y
Battery Pack Assembly	Autonomous Battery Pack Assembly Orchestration Engine	Make	Electric Vehicle Battery & Drive Unit Production	DETERMINISTIC	2	1	2	5	3	3	3	2	11	1	2	3	0.70	HIGH	Y
Capacity Scenario Modeling & Simulation	Integrated Capacity Scenario Engine for Automotive Capacity Levers	Plan	Capacity Planning & Constraint Management	DETERMINISTIC	2	2	2	6	3	3	2	2	10	1	2	3	0.70	HIGH	Y
Inbound Logistics Network Design & Optimization	Autonomous Inbound Logistics Optimization Engine	Move & Fulfill	Inbound Logistics & Material Flow	DETERMINISTIC	2	2	2	6	3	3	3	2	11	0	2	2	0.70	HIGH	Y
Manufacturing Engineering & Process Optimization	Autonomous Line Sequencing & Multi-Echelon Inventory Optimization for Ford's Vehicle Platforms	Make	Powertrain Manufacturing (Engine & Transmission)	DETERMINISTIC	2	2	2	6	2	3	2	2	9	2	2	4	0.70	HIGH	Y
Supplier Quality & Development	Autonomous Supplier Quality & Development Orchestrator	Procure Source & Buy	Supplier Relationship Management	AGENTIC	2	2	2	6	2	3	3	3	11	1	1	2	0.70	HIGH	Y
Returnable Packaging Management	Autonomous Returnable Packaging Optimization Engine	Move & Fulfill	Inbound Logistics & Material Flow	DETERMINISTIC	2	2	2	6	3	3	2	2	10	1	2	3	0.70	HIGH	Y
In-Process Component & Assembly Verification	Autonomous In-Process Quality Verification & Assembly Validation Engine	Make	Quality Control & In-Process Inspection	DETERMINISTIC	2	1	2	5	3	3	3	2	11	1	2	3	0.70	HIGH	Y
Commercial Change Management	Autonomous Commercial Change Engine for Automotive Platform Optimization	Procure Source & Buy	Contract & Commercial Management	DETERMINISTIC	2	2	2	6	3	3	2	2	10	1	2	3	0.70	HIGH	Y
Request for Quote (RFQ) & Bid Management	Autonomous RFQ & Bid Optimization Engine	Procure Source & Buy	Strategic Sourcing & Supplier Selection	DETERMINISTIC	2	2	2	6	2	3	2	2	9	2	2	4	0.70	HIGH	Y
Exception & Non-Conformance Management	Autonomous Exception & Non-Conformance Orchestrator (AENO) for Automotive Manufacturing	Make	Trim Chassis & Final Assembly	DETERMINISTIC	2	2	2	6	3	3	3	2	11	1	1	2	0.70	HIGH	Y
Battery Module Assembly	Autonomous Battery Module Assembly Orchestration & Scheduling Engine	Make	Electric Vehicle Battery & Drive Unit Production	DETERMINISTIC	2	1	2	5	3	3	3	2	11	1	2	3	0.70	HIGH	Y
Warehouse & Distribution Center Network Management	Autonomous DC Network Optimization & Service Parts Fulfillment Engine	Move & Fulfill	Logistics Network Optimization	DETERMINISTIC	2	2	2	6	2	3	3	2	10	1	2	3	0.70	HIGH	Y
New Product Introduction (NPI) Demand Forecasting	Autonomous NPI Demand Orchestration for New Vehicle Programs	Plan	Demand Forecasting & Sensing	DETERMINISTIC	3	3	3	9	2	2	2	1	7	1	2	3	0.69	HIGH	Y
Order Fulfillment & Picking	Autonomous End-to-End Order Fulfillment & Dynamic Picking Engine	Move & Fulfill	Warehouse & Distribution Center Operations	DETERMINISTIC	3	2	3	8	2	3	2	2	9	1	1	2	0.69	HIGH	Y
Inbound Logistics Exception Management	Autonomous Inbound Logistics Exception Management Engine	Move & Fulfill	Inbound Logistics & Material Flow	AGENTIC	2	2	3	7	2	3	3	2	10	1	1	2	0.69	HIGH	Y
Parts Supply Chain & Logistics Coordination	Autonomous Parts Supply Chain Orchestrator for Automotive MRO and Production	Service	Recall & Field Service Action Management	DETERMINISTIC	3	3	3	9	2	2	2	2	8	1	1	2	0.68	HIGH	Y
Service Parts Network Design & Operations	Autonomous Service Parts Network Optimization & End-to-End Fulfillment Engine	Service	Service Parts Planning & Management	DETERMINISTIC	2	2	2	6	2	2	2	2	8	2	2	4	0.67	HIGH	Y
OTA Software Deployment & Management	Autonomous OTA Deployment Orchestration for Vehicle Platform Stability	Service	Connected Vehicle Services & OTA Updates	AGENTIC	2	2	2	6	2	2	2	2	8	2	2	4	0.67	HIGH	Y
Sourcing Risk Management	Autonomous Sourcing Risk Management Engine for Automotive Supply	Procure Source & Buy	Strategic Sourcing & Supplier Selection	AGENTIC	2	2	2	6	2	2	2	2	8	2	2	4	0.67	HIGH	Y
Internal Production Logistics & Material Handling	Autonomous Production Logistics Orchestration for Multi-Echelon COGS Reduction	Make	Production Support Services	DETERMINISTIC	2	2	2	6	2	2	2	2	8	2	2	4	0.67	HIGH	Y
Press Operations & Production Execution	Autonomous Press-to-Post-Stamping Production Orchestrator	Make	Stamping Operations	AGENTIC	2	1	2	5	2	3	2	2	9	2	2	4	0.67	HIGH	Y
Dealer & Customer Delivery Operations	Autonomous End-to-End Dealer & Customer Delivery Orchestration	Move & Fulfill	Outbound Vehicle Logistics & Distribution	DETERMINISTIC	2	2	2	6	2	2	2	2	8	2	2	4	0.67	HIGH	Y
Customer Experience & Technical Support for Connected Services	Autonomous Connected Services Experience Orchestrator	Service	Connected Vehicle Services & OTA Updates	AGENTIC	2	2	2	6	2	2	2	2	8	2	2	4	0.67	HIGH	Y
Drive Unit Final Assembly & Testing	Integrated Final-Drive Assembly & Test Orchestration Engine	Make	Electric Vehicle Battery & Drive Unit Production	DETERMINISTIC	2	1	2	5	2	3	3	2	10	1	2	3	0.67	HIGH	Y
Contract Management & Lifecycle	Autonomous Contract Lifecycle Optimization & Supplier Risk-Adjusted P&L	Procure Source & Buy	Strategic Sourcing & Supplier Selection	DETERMINISTIC	2	2	2	6	2	2	2	2	8	2	2	4	0.67	HIGH	Y
Launch Program Strategy & Governance	Autonomous Launch Program Playbook & Governance Engine	Plan	New Product Launch Planning	DETERMINISTIC	2	2	2	6	2	2	2	2	8	2	2	4	0.67	HIGH	Y
Continuous Improvement & Data Analytics	Integrated Continuous Improvement Decision Engine for COGS Reduction and OTIF Enhancement	Move & Fulfill	Outbound Vehicle Logistics & Distribution	DETERMINISTIC	2	2	2	6	2	2	2	2	8	2	2	4	0.67	HIGH	Y
Die Engineering & Management	Autonomous Die Engineering Lifecycle Optimization	Make	Stamping Operations	AGENTIC	2	2	2	6	2	2	2	2	8	2	2	4	0.67	HIGH	Y
Indirect Sourcing Strategy & Planning	Autonomous Indirect Sourcing Decision Engine for COGS and Working Capital	Procure Source & Buy	Indirect Procurement	DETERMINISTIC	2	2	2	6	2	2	2	2	8	2	2	4	0.67	HIGH	Y
Transportation Strategy & Mode Optimization	Autonomous Multimodal Transportation & Carrier Optimization Engine	Move & Fulfill	Logistics Network Optimization	DETERMINISTIC	2	1	2	5	2	3	3	2	10	1	2	3	0.67	HIGH	Y
Operator & Automated Quality Inspections	Autonomous End-to-End Quality Inspection & Certification Engine	Make	Quality Control & In-Process Inspection	AGENTIC	2	1	2	5	2	3	3	2	10	1	2	3	0.67	HIGH	Y
Outbound Shipping & Loading	Autonomous Outbound Shipping Orchestrator for Vehicle Platforms	Move & Fulfill	Warehouse & Distribution Center Operations	DETERMINISTIC	2	2	2	6	3	2	2	2	9	1	2	3	0.66	HIGH	N
PO Performance Analysis & Continuous Improvement	Autonomous PO Performance Optimization Engine	Procure Source & Buy	Purchase Order Management & Execution	DETERMINISTIC	2	2	2	6	2	3	2	2	9	1	2	3	0.66	HIGH	Y
Regulatory & Trade Policy Compliance	Autonomous Regulatory & Trade Compliance Orchestrator	Procure Source & Buy	Commodity Management & Market Intelligence	DETERMINISTIC	2	2	2	6	2	3	3	2	10	1	1	2	0.66	HIGH	Y
Data Analytics & Performance Management	Autonomous Performance & Quality Optimization Engine for Automotive Stamping & Production	Make	Stamping Operations	AGENTIC	3	2	2	7	2	2	2	2	8	1	2	3	0.66	HIGH	Y
Non-Conformance & Rework Management	Autonomous Non-Conformance Orchestration & Rework Optimizer	Make	Body Shop & Welding	AGENTIC	2	2	2	6	2	3	2	2	9	1	2	3	0.66	HIGH	Y
Indirect Spend Analytics & Optimization	Autonomous Indirect Spend Optimization & Savings Realization	Procure Source & Buy	Indirect Procurement	AGENTIC	2	2	2	6	2	2	3	2	9	1	2	3	0.66	HIGH	Y
Emergency & Critical Parts Fulfillment	Autonomous Critical Parts Fulfillment Engine (AC-PFE)	Move & Fulfill	Service Parts Logistics & Distribution	AGENTIC	2	2	3	7	2	2	2	2	8	1	2	3	0.66	HIGH	Y
Aggregate Supply Planning & Capacity	End-to-End Aggregate Supply Planning & Capacity Engine	Plan	Sales & Operations Planning (S&OP)	DETERMINISTIC	2	2	2	6	3	3	3	2	11	0	1	1	0.65	HIGH	Y
New Product Introduction (NPI) Capacity Assessment	Autonomous NPI Capacity Assurance Engine	Plan	Capacity Planning & Constraint Management	DETERMINISTIC	2	2	2	6	3	3	3	2	11	0	1	1	0.65	HIGH	Y
Material Flow & In-Plant Logistics	Autonomous In-Plant Material Flow & Replenishment Engine	Make	Trim Chassis & Final Assembly	DETERMINISTIC	3	2	3	8	3	2	2	2	9	0	1	1	0.65	HIGH	Y
Cost & Value Optimization (Sourcing Phase)	End-to-End Sourcing Value Optimization Engine	Procure Source & Buy	Strategic Sourcing & Supplier Selection	DETERMINISTIC	2	2	2	6	3	3	3	2	11	0	1	1	0.65	HIGH	Y
Supplier Launch Readiness & Support	Autonomous Supplier Launch Readiness Engine	Procure Source & Buy	Supplier Quality Management	DETERMINISTIC	2	2	2	6	3	3	3	3	12	0	0	0	0.65	HIGH	Y
Service Parts Inventory Management	Autonomous Service Parts Inventory Orchestrator	Plan	Inventory Planning & Optimization	DETERMINISTIC	3	3	3	9	2	2	2	2	8	0	1	1	0.64	HIGH	Y
Production Planning & Material Flow Management	Autonomous End-to-End Production & Material Flow Optimizer	Make	Electric Vehicle Battery & Drive Unit Production	DETERMINISTIC	3	3	3	9	2	3	2	2	9	0	0	0	0.64	HIGH	Y
Demand Sensing & Forecasting	Autonomous Demand Sensing & Forecasting Engine for Automotive Platform Mix	Plan	Sales & Operations Planning (S&OP)	DETERMINISTIC	3	3	3	9	2	2	2	2	8	0	1	1	0.64	HIGH	Y
Service Parts Demand Forecasting	Autonomous Service Parts Demand Orchestrator for Ford	Service	Service Parts Planning & Management	DETERMINISTIC	3	3	3	9	2	2	2	2	8	0	1	1	0.64	HIGH	Y
Executive S&OP / IBP Review & Decision Making	Autonomous S&OP Orchestrator for Ford IBP Playbook	Plan	Integrated Business Planning (IBP)	DETERMINISTIC	2	2	2	6	2	2	2	1	7	2	2	4	0.63	HIGH	Y
Asset Lifecycle Management & Tracking	Autonomous Asset Lifecycle Optimizer for Automotive Asset Utilization	Make	Plant Maintenance & Reliability	DETERMINISTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	N
New Product Introduction (NPI) Network Readiness	Autonomous NPI Network Readiness Engine	Plan	Supply Network Design & Planning	DETERMINISTIC	2	2	2	6	2	2	3	1	8	1	2	3	0.63	HIGH	Y
Inbound Logistics & Material Handling	Autonomous Inbound Logistics Optimization for Ford: End-to-End Material Receiving, Storage, and Kitting	Make	Powertrain Manufacturing (Engine & Transmission)	DETERMINISTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	N
New Model Launch Quality Readiness	Autonomous New Model Launch Quality Readiness Engine	Make	Quality Control & In-Process Inspection	DETERMINISTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	N
Paint Material Management	Autonomous Paint Material Management & Demand-Driven Mixing Optimization	Make	Paint Operations	DETERMINISTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	N
Compliance & Risk Management	Autonomous Compliance & Risk Orchestration Engine	Move & Fulfill	Outbound Vehicle Logistics & Distribution	AGENTIC	2	1	2	5	2	2	2	2	8	2	2	4	0.63	HIGH	Y
Carrier Performance & Relationship Management	Autonomous Carrier Selection & Performance Optimization Engine	Move & Fulfill	Outbound Vehicle Logistics & Distribution	AGENTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	N
Supplier Identification & Pre-Qualification	Autonomous Supplier Qualification & Onboarding Engine	Procure Source & Buy	Strategic Sourcing & Supplier Selection	AGENTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	N
New Supplier Quality Assessment & Selection	Autonomous Supplier Quality Assessment & Selection Engine	Procure Source & Buy	Supplier Quality Management	DETERMINISTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	Y
Indirect Supplier Qualification & Selection	Autonomous Indirect Supplier Qualification & Selection Engine	Procure Source & Buy	Indirect Procurement	DETERMINISTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	N
Returnable Container Fleet Management	Autonomous Returnable Container Fleet Optimization Engine	Move & Fulfill	Packaging & Returnable Container Management	DETERMINISTIC	2	2	2	6	2	2	3	1	8	1	2	3	0.63	HIGH	N
Production Planning & Execution Control	End-to-End Production Planning & Dynamic Execution Optimization	Make	Trim Chassis & Final Assembly	DETERMINISTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	Y
Connected Services & Aftermarket Order Integration	Autonomous Aftermarket Order Orchestration & Spare Parts Replenishment Engine	Move & Fulfill	Order Management & Fulfillment	AGENTIC	2	2	2	6	2	2	3	1	8	1	2	3	0.63	HIGH	N
Service Parts Regulatory Compliance & Quality Assurance	Autonomous Quality & Compliance Assurance Engine for Service Parts	Service	Service Parts Planning & Management	AGENTIC	2	2	2	6	2	2	2	1	7	2	2	4	0.63	HIGH	Y
Supplier Defect Management & Recovery	Autonomous Supplier Defect Recovery & Cost Recovery Engine	Service	Recall & Field Service Action Management	AGENTIC	2	2	2	6	2	2	2	1	7	2	2	4	0.63	HIGH	N
Integrated Financial & Operational Reconciliation	End-to-End Financial-Operational Reconciliation Engine	Plan	Integrated Business Planning (IBP)	DETERMINISTIC	2	1	2	5	2	3	2	1	8	2	2	4	0.63	HIGH	Y
Warranty Policy & Program Development	Autonomous Warranty Policy & Program Optimization Engine	Service	Warranty Administration & Claims Management	DETERMINISTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	N
Topcoat Application	Autonomous Topcoat Application & Verification Optimization Engine	Make	Paint Operations	DETERMINISTIC	2	1	2	5	2	2	2	2	8	2	2	4	0.63	HIGH	Y
Technical Service Information Management	Autonomous Service Information Lifecycle Optimization Engine	Service	Dealer Technical Support & Service Engineering	DETERMINISTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	N
Sales Channel & Marketing Management	Autonomous Direct-to-Channel Revenue Acceleration Engine	Service	Extended Service Plans & Maintenance Programs	DETERMINISTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	N
Manufacturing Process Quality Audits	Autonomous Quality Audit Orchestrator for Tier-1 Automotive Manufacturing	Make	Quality Control & In-Process Inspection	AGENTIC	2	2	2	6	2	2	2	1	7	2	2	4	0.63	HIGH	Y
Inbound Freight Operations (Parts & Components)	Autonomous Inbound Freight Orchestration for Multi-Echelon Supplier Network	Move & Fulfill	Transportation Management & Carrier Operations	AGENTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	N
Logistics Performance Management & Analytics	Autonomous Logistics Performance Engine for COGS Optimization and OTIF	Move & Fulfill	Logistics Network Optimization	DETERMINISTIC	2	2	2	6	2	2	2	1	7	2	2	4	0.63	HIGH	Y
Invoice & Payment Processing (P2P part)	Autonomous P2P Invoice Validation, 3-Way Match & Payment Optimization Engine	Procure Source & Buy	Indirect Procurement	DETERMINISTIC	2	2	2	6	2	2	2	2	8	1	2	3	0.63	HIGH	Y
Mobile Service Delivery & Dispatch	Autonomous Mobile Service Orchestration for End-to-End Dispatch	Service	Ford Pro Fleet Service & Upfit Operations	DETERMINISTIC	2	1	2	5	2	2	2	2	8	2	2	4	0.63	HIGH	Y
